	Anoalb	Anoatr	Anochr	Anocul	Anodar	Anodir	Anoepi	Anofar	Anofun	Anogam	Anomac	Anomin	Anosin	Anoste
OG0013721	Anoalb_AALB014120-RA													
OG0013722	Anoalb_AALB014117-RA													
OG0013723	Anoalb_AALB014115-RA													
OG0013724	Anoalb_AALB001155-RA													
OG0013725	Anoalb_AALB001137-RA													
OG0013726	Anoalb_AALB001134-RA													
OG0013727	Anoalb_AALB001129-RA													
OG0013728	Anoalb_AALB014109-RA													
OG0013729	Anoalb_AALB001099-RA													
OG0013730	Anoalb_AALB014108-RA													
OG0013731	Anoalb_AALB001098-RA													
OG0013732	Anoalb_AALB001093-RA													
OG0013733	Anoalb_AALB001087-RA													
OG0013734	Anoalb_AALB014107-RB													
OG0013735	Anoalb_AALB014106-RA													
OG0013736	Anoalb_AALB001079-RA													
OG0013737	Anoalb_AALB001076-RA													
OG0013738	Anoalb_AALB014105-RA													
OG0013739	Anoalb_AALB014104-RA													
OG0013740	Anoalb_AALB014103-RA													
OG0013741	Anoalb_AALB014102-RA													
OG0013742	Anoalb_AALB014101-RB													
OG0013743	Anoalb_AALB001067-RA													
OG0013744	Anoalb_AALB001054-RA													
OG0013745	Anoalb_AALB014100-RA													
OG0013746	Anoalb_AALB014099-RA													
OG0013747	Anoalb_AALB014098-RA													
OG0013748	Anoalb_AALB014097-RA													
OG0013749	Anoalb_AALB014095-RA													
OG0013750	Anoalb_AALB014094-RA													
OG0013751	Anoalb_AALB000988-RA													
OG0013752	Anoalb_AALB014093-RA													
OG0013753	Anoalb_AALB014092-RA													
OG0013754	Anoalb_AALB014091-RA													
OG0013755	Anoalb_AALB014090-RA													
OG0013756	Anoalb_AALB014089-RA													
OG0013757	Anoalb_AALB014088-RA													
OG0013758	Anoalb_AALB000969-RA													
OG0013759	Anoalb_AALB000960-RA													
OG0013760	Anoalb_AALB014087-RA													
OG0013761	Anoalb_AALB014085-RA													
OG0013762	Anoalb_AALB014084-RA													
OG0013763	Anoalb_AALB014083-RA													
OG0013764	Anoalb_AALB014082-RA													
OG0013765	Anoalb_AALB000914-RA													
OG0013766	Anoalb_AALB014081-RA													
OG0013767	Anoalb_AALB000911-RA													
OG0013768	Anoalb_AALB014080-RA													
OG0013769	Anoalb_AALB014079-RB													
OG0013770	Anoalb_AALB014078-RA													
OG0013771	Anoalb_AALB000873-RA													
OG0013772	Anoalb_AALB000859-RA													
OG0013773	Anoalb_AALB000852-RA													
OG0013774	Anoalb_AALB000832-RA													
OG0013775	Anoalb_AALB014074-RA													
OG0013776	Anoalb_AALB014073-RA													
OG0013777	Anoalb_AALB014072-RA													
OG0013778	Anoalb_AALB000793-RA													
OG0013779	Anoalb_AALB014071-RA													
OG0013780	Anoalb_AALB014068-RA													
OG0013781	Anoalb_AALB014067-RA													
OG0013782	Anoalb_AALB014065-RA													
OG0013783	Anoalb_AALB000743-RA													
OG0013784	Anoalb_AALB014064-RA													
OG0013785	Anoalb_AALB000717-RA													
OG0013786	Anoalb_AALB014063-RA													
OG0013787	Anoalb_AALB014062-RA													
OG0013788	Anoalb_AALB014061-RA													
OG0013789	Anoalb_AALB014060-RA													
OG0013790	Anoalb_AALB000699-RA													
OG0013791	Anoalb_AALB000688-RA													
OG0013792	Anoalb_AALB014059-RA													
OG0013793	Anoalb_AALB014058-RA													
OG0013794	Anoalb_AALB000670-RA													
OG0013795	Anoalb_AALB014057-RA													
OG0013796	Anoalb_AALB014056-RA													
OG0013797	Anoalb_AALB014055-RA													
OG0013798	Anoalb_AALB014050-RA													
OG0013799	Anoalb_AALB014049-RA													
OG0013800	Anoalb_AALB014048-RB													
OG0013801	Anoalb_AALB014047-RA													
OG0013802	Anoalb_AALB014046-RA													
OG0013803	Anoalb_AALB000557-RA													
OG0013804	Anoalb_AALB000556-RA													
OG0013805	Anoalb_AALB014045-RA													
OG0013806	Anoalb_AALB000534-RA													
OG0013807	Anoalb_AALB014044-RA													
OG0013808	Anoalb_AALB000530-RA													
OG0013809	Anoalb_AALB000522-RA													
OG0013810	Anoalb_AALB000510-RA													
OG0013811	Anoalb_AALB000487-RA													
OG0013812	Anoalb_AALB000484-RA													
OG0013813	Anoalb_AALB014041-RA													
OG0013814	Anoalb_AALB014040-RA													
OG0013815	Anoalb_AALB000453-RA													
OG0013816	Anoalb_AALB014039-RA													
OG0013817	Anoalb_AALB000436-RA													
OG0013818	Anoalb_AALB000430-RA													
OG0013819	Anoalb_AALB014037-RA													
OG0013820	Anoalb_AALB014036-RA													
OG0013821	Anoalb_AALB014035-RA													
OG0013822	Anoalb_AALB014034-RA													
OG0013823	Anoalb_AALB000423-RA													
OG0013824	Anoalb_AALB014033-RA													
OG0013825	Anoalb_AALB000422-RA													
OG0013826	Anoalb_AALB014032-RA													
OG0013827	Anoalb_AALB014031-RA													
OG0013828	Anoalb_AALB014030-RA													
OG0013829	Anoalb_AALB014029-RA													
OG0013830	Anoalb_AALB014028-RA													
OG0013831	Anoalb_AALB000395-RA													
OG0013832	Anoalb_AALB014026-RA													
OG0013833	Anoalb_AALB000366-RA													
OG0013834	Anoalb_AALB014025-RA													
OG0013835	Anoalb_AALB014024-RB													
OG0013836	Anoalb_AALB014023-RA													
OG0013837	Anoalb_AALB000339-RA													
OG0013838	Anoalb_AALB000331-RA													
OG0013839	Anoalb_AALB000319-RA													
OG0013840	Anoalb_AALB000311-RA													
OG0013841	Anoalb_AALB015465-RA													
OG0013842	Anoalb_AALB015464-RA													
OG0013843	Anoalb_AALB014022-RA													
OG0013844	Anoalb_AALB000260-RA													
OG0013845	Anoalb_AALB000222-RA													
OG0013846	Anoalb_AALB000201-RA													
OG0013847	Anoalb_AALB014016-RA													
OG0013848	Anoalb_AALB014015-RA													
OG0013849	Anoalb_AALB000177-RA													
OG0013850	Anoalb_AALB000171-RA													
OG0013851	Anoalb_AALB014014-RA													
OG0013852	Anoalb_AALB000138-RA													
OG0013853	Anoalb_AALB000100-RA													
OG0013854	Anoalb_AALB014007-RA													
OG0013855	Anoalb_AALB000069-RA													
OG0013856	Anoalb_AALB014006-RA													
OG0013857	Anoalb_AALB014003-RA													
OG0013858	Anoalb_AALB000022-RA													
OG0013859	Anoalb_AALB000020-RA													
OG0013860	Anoalb_AALB014001-RA													
OG0013861	Anoalb_AALB000016-RA													
OG0013862	Anoalb_AALB000012-RA													
OG0013863	Anoalb_AALB000011-RA													
OG0013864	Anoalb_AALB014200-RA													
OG0013865	Anoalb_AALB014199-RA													
OG0013866	Anoalb_AALB002025-RA													
OG0013867	Anoalb_AALB002024-RA													
OG0013868	Anoalb_AALB002017-RA													
OG0013869	Anoalb_AALB014198-RA													
OG0013870	Anoalb_AALB014197-RA													
OG0013871	Anoalb_AALB014196-RA													
OG0013872	Anoalb_AALB001965-RA													
OG0013873	Anoalb_AALB001935-RA													
OG0013874	Anoalb_AALB014194-RA													
OG0013875	Anoalb_AALB014193-RA													
OG0013876	Anoalb_AALB001871-RA													
OG0013877	Anoalb_AALB001866-RA													
OG0013878	Anoalb_AALB014189-RA													
OG0013879	Anoalb_AALB014188-RA													
OG0013880	Anoalb_AALB001825-RA													
OG0013881	Anoalb_AALB014187-RA													
OG0013882	Anoalb_AALB001795-RA													
OG0013883	Anoalb_AALB001788-RA													
OG0013884	Anoalb_AALB001787-RA													
OG0013885	Anoalb_AALB014186-RA													
OG0013886	Anoalb_AALB001774-RA													
OG0013887	Anoalb_AALB001772-RA													
OG0013888	Anoalb_AALB014184-RA													
OG0013889	Anoalb_AALB014183-RA													
OG0013890	Anoalb_AALB001740-RA													
OG0013891	Anoalb_AALB001692-RA													
OG0013892	Anoalb_AALB014182-RA													
OG0013893	Anoalb_AALB001682-RA													
OG0013894	Anoalb_AALB014181-RA													
OG0013895	Anoalb_AALB014180-RA													
OG0013896	Anoalb_AALB001669-RA													
OG0013897	Anoalb_AALB014178-RA													
OG0013898	Anoalb_AALB014177-RA													
OG0013899	Anoalb_AALB014176-RA													
OG0013900	Anoalb_AALB014175-RA													
OG0013901	Anoalb_AALB014174-RA													
OG0013902	Anoalb_AALB014173-RA													
OG0013903	Anoalb_AALB014172-RA													
OG0013904	Anoalb_AALB014171-RA													
OG0013905	Anoalb_AALB014170-RA													
OG0013906	Anoalb_AALB014169-RA													
OG0013907	Anoalb_AALB014168-RA													
OG0013908	Anoalb_AALB014167-RA													
OG0013909	Anoalb_AALB001651-RA													
OG0013910	Anoalb_AALB001642-RA													
OG0013911	Anoalb_AALB014166-RA													
OG0013912	Anoalb_AALB014165-RA													
OG0013913	Anoalb_AALB014163-RA													
OG0013914	Anoalb_AALB001628-RA													
OG0013915	Anoalb_AALB001621-RA													
OG0013916	Anoalb_AALB001620-RA													
OG0013917	Anoalb_AALB001565-RA													
OG0013918	Anoalb_AALB001530-RA													
OG0013919	Anoalb_AALB014157-RB													
OG0013920	Anoalb_AALB001501-RA													
OG0013921	Anoalb_AALB001488-RA													
OG0013922	Anoalb_AALB001457-RA													
OG0013923	Anoalb_AALB014156-RA													
OG0013924	Anoalb_AALB014155-RA													
OG0013925	Anoalb_AALB001399-RA													
OG0013926	Anoalb_AALB001389-RA													
OG0013927	Anoalb_AALB001340-RA													
OG0013928	Anoalb_AALB014152-RA													
OG0013929	Anoalb_AALB001314-RA													
OG0013930	Anoalb_AALB001310-RA													
OG0013931	Anoalb_AALB014871-RA													
OG0013932	Anoalb_AALB014870-RA													
OG0013933	Anoalb_AALB014869-RA													
OG0013934	Anoalb_AALB014868-RA													
OG0013935	Anoalb_AALB009511-RA													
OG0013936	Anoalb_AALB009507-RA													
OG0013937	Anoalb_AALB014866-RA													
OG0013938	Anoalb_AALB014865-RA													
OG0013939	Anoalb_AALB014864-RA													
OG0013940	Anoalb_AALB014863-RA													
OG0013941	Anoalb_AALB009435-RA													
OG0013942	Anoalb_AALB014861-RA													
OG0013943	Anoalb_AALB014859-RA													
OG0013944	Anoalb_AALB009404-RA													
OG0013945	Anoalb_AALB014858-RA													
OG0013946	Anoalb_AALB009396-RA													
OG0013947	Anoalb_AALB009394-RA													
OG0013948	Anoalb_AALB009388-RA													
OG0013949	Anoalb_AALB014857-RA													
OG0013950	Anoalb_AALB009347-RA													
OG0013951	Anoalb_AALB014856-RA													
OG0013952	Anoalb_AALB014855-RA													
OG0013953	Anoalb_AALB014854-RA													
OG0013954	Anoalb_AALB014853-RA													
OG0013955	Anoalb_AALB009300-RA													
OG0013956	Anoalb_AALB014852-RA													
OG0013957	Anoalb_AALB014851-RA													
OG0013958	Anoalb_AALB014850-RA													
OG0013959	Anoalb_AALB014849-RA													
OG0013960	Anoalb_AALB009262-RA													
OG0013961	Anoalb_AALB014848-RA													
OG0013962	Anoalb_AALB014847-RA													
OG0013963	Anoalb_AALB009158-RA													
OG0013964	Anoalb_AALB009154-RA													
OG0013965	Anoalb_AALB009143-RA													
OG0013966	Anoalb_AALB009142-RA													
OG0013967	Anoalb_AALB014845-RA													
OG0013968	Anoalb_AALB009098-RA													
OG0013969	Anoalb_AALB009077-RA													
OG0013970	Anoalb_AALB014841-RA													
OG0013971	Anoalb_AALB009063-RA													
OG0013972	Anoalb_AALB014840-RA													
OG0013973	Anoalb_AALB014839-RA													
OG0013974	Anoalb_AALB009050-RA													
OG0013975	Anoalb_AALB009045-RA													
OG0013976	Anoalb_AALB014838-RA													
OG0013977	Anoalb_AALB009021-RA													
OG0013978	Anoalb_AALB014837-RA													
OG0013979	Anoalb_AALB014835-RA													
OG0013980	Anoalb_AALB014834-RA													
OG0013981	Anoalb_AALB014833-RA													
OG0013982	Anoalb_AALB014832-RA													
OG0013983	Anoalb_AALB014831-RA													
OG0013984	Anoalb_AALB014830-RA													
OG0013985	Anoalb_AALB014829-RA													
OG0013986	Anoalb_AALB008949-RA													
OG0013987	Anoalb_AALB014828-RA													
OG0013988	Anoalb_AALB014827-RA													
OG0013989	Anoalb_AALB014826-RA													
OG0013990	Anoalb_AALB008876-RA													
OG0013991	Anoalb_AALB014825-RA													
OG0013992	Anoalb_AALB014824-RA													
OG0013993	Anoalb_AALB014823-RB													
OG0013994	Anoalb_AALB014821-RA													
OG0013995	Anoalb_AALB014820-RA													
OG0013996	Anoalb_AALB008819-RA													
OG0013997	Anoalb_AALB002723-RA													
OG0013998	Anoalb_AALB014258-RA													
OG0013999	Anoalb_AALB014257-RA													
OG0014000	Anoalb_AALB014255-RA													
OG0014001	Anoalb_AALB014254-RA													
OG0014002	Anoalb_AALB014253-RA													
OG0014003	Anoalb_AALB014250-RA													
OG0014004	Anoalb_AALB014249-RA													
OG0014005	Anoalb_AALB014248-RA													
OG0014006	Anoalb_AALB014244-RA													
OG0014007	Anoalb_AALB002554-RA													
OG0014008	Anoalb_AALB014243-RA													
OG0014009	Anoalb_AALB015604-RA													
OG0014010	Anoalb_AALB014241-RA													
OG0014011	Anoalb_AALB014240-RA													
OG0014012	Anoalb_AALB014239-RA													
OG0014013	Anoalb_AALB014238-RA													
OG0014014	Anoalb_AALB014237-RA													
OG0014015	Anoalb_AALB002453-RA													
OG0014016	Anoalb_AALB002451-RA													
OG0014017	Anoalb_AALB014235-RA													
OG0014018	Anoalb_AALB014234-RB													
OG0014019	Anoalb_AALB014233-RB													
OG0014020	Anoalb_AALB014232-RA													
OG0014021	Anoalb_AALB002422-RA													
OG0014022	Anoalb_AALB014230-RA													
OG0014023	Anoalb_AALB014229-RA													
OG0014024	Anoalb_AALB002382-RA													
OG0014025	Anoalb_AALB014228-RA													
OG0014026	Anoalb_AALB014227-RA													
OG0014027	Anoalb_AALB002370-RA													
OG0014028	Anoalb_AALB014226-RA													
OG0014029	Anoalb_AALB002347-RA													
OG0014030	Anoalb_AALB014225-RA													
OG0014031	Anoalb_AALB014224-RA													
OG0014032	Anoalb_AALB014651-RA													
OG0014033	Anoalb_AALB014650-RA													
OG0014034	Anoalb_AALB014649-RA													
OG0014035	Anoalb_AALB014648-RA													
OG0014036	Anoalb_AALB014647-RA													
OG0014037	Anoalb_AALB007203-RA													
OG0014038	Anoalb_AALB014646-RA													
OG0014039	Anoalb_AALB007164-RA													
OG0014040	Anoalb_AALB007149-RA													
OG0014041	Anoalb_AALB014645-RA													
OG0014042	Anoalb_AALB007137-RA													
OG0014043	Anoalb_AALB014644-RA													
OG0014044	Anoalb_AALB014643-RA													
OG0014045	Anoalb_AALB002300-RA													
OG0014046	Anoalb_AALB014221-RA													
OG0014047	Anoalb_AALB014220-RA													
OG0014048	Anoalb_AALB014219-RA													
OG0014049	Anoalb_AALB002286-RA													
OG0014050	Anoalb_AALB014218-RA													
OG0014051	Anoalb_AALB002269-RA													
OG0014052	Anoalb_AALB014217-RA													
OG0014053	Anoalb_AALB014216-RA													
OG0014054	Anoalb_AALB014215-RA													
OG0014055	Anoalb_AALB014214-RA													
OG0014056	Anoalb_AALB015702-RA													
OG0014057	Anoalb_AALB014212-RA													
OG0014058	Anoalb_AALB002229-RA													
OG0014059	Anoalb_AALB014211-RA													
OG0014060	Anoalb_AALB002202-RA													
OG0014061	Anoalb_AALB014210-RA													
OG0014062	Anoalb_AALB014209-RA													
OG0014063	Anoalb_AALB014208-RA													
OG0014064	Anoalb_AALB014207-RA													
OG0014065	Anoalb_AALB002139-RA													
OG0014066	Anoalb_AALB014206-RA													
OG0014067	Anoalb_AALB002137-RA													
OG0014068	Anoalb_AALB002136-RA													
OG0014069	Anoalb_AALB014204-RA													
OG0014070	Anoalb_AALB002096-RA													
OG0014071	Anoalb_AALB002081-RA													
OG0014072	Anoalb_AALB002078-RA													
OG0014073	Anoalb_AALB002064-RA													
OG0014074	Anoalb_AALB014202-RA													
OG0014075	Anoalb_AALB009556-RA													
OG0014076	Anoalb_AALB014873-RA													
OG0014077	Anoalb_AALB009565-RA													
OG0014078	Anoalb_AALB014874-RA													
OG0014079	Anoalb_AALB014875-RA													
OG0014080	Anoalb_AALB014876-RA													
OG0014081	Anoalb_AALB014877-RA													
OG0014082	Anoalb_AALB014879-RA													
OG0014083	Anoalb_AALB014880-RA													
OG0014084	Anoalb_AALB014881-RA													
OG0014085	Anoalb_AALB009654-RA													
OG0014086	Anoalb_AALB014883-RA													
OG0014087	Anoalb_AALB009718-RA													
OG0014088	Anoalb_AALB009719-RA													
OG0014089	Anoalb_AALB014884-RA													
OG0014090	Anoalb_AALB014380-RA													
OG0014091	Anoalb_AALB014381-RA													
OG0014092	Anoalb_AALB014787-RA													
OG0014093	Anoalb_AALB014786-RB													
OG0014094	Anoalb_AALB008439-RA													
OG0014095	Anoalb_AALB014784-RA													
OG0014096	Anoalb_AALB014782-RA													
OG0014097	Anoalb_AALB008418-RA													
OG0014098	Anoalb_AALB014781-RA													
OG0014099	Anoalb_AALB014780-RA													
OG0014100	Anoalb_AALB014779-RA													
OG0014101	Anoalb_AALB014778-RA													
OG0014102	Anoalb_AALB014777-RA													
OG0014103	Anoalb_AALB008361-RA													
OG0014104	Anoalb_AALB014776-RA													
OG0014105	Anoalb_AALB014775-RA													
OG0014106	Anoalb_AALB014774-RA													
OG0014107	Anoalb_AALB008300-RA													
OG0014108	Anoalb_AALB008287-RA													
OG0014109	Anoalb_AALB014772-RA													
OG0014110	Anoalb_AALB008261-RA													
OG0014111	Anoalb_AALB014771-RA													
OG0014112	Anoalb_AALB014770-RA													
OG0014113	Anoalb_AALB014769-RA													
OG0014114	Anoalb_AALB014768-RA													
OG0014115	Anoalb_AALB014767-RA													
OG0014116	Anoalb_AALB008220-RA													
OG0014117	Anoalb_AALB008218-RA													
OG0014118	Anoalb_AALB014766-RA													
OG0014119	Anoalb_AALB008203-RA													
OG0014120	Anoalb_AALB014765-RA													
OG0014121	Anoalb_AALB008200-RA													
OG0014122	Anoalb_AALB014764-RA													
OG0014123	Anoalb_AALB008178-RA													
OG0014124	Anoalb_AALB014763-RA													
OG0014125	Anoalb_AALB014762-RA													
OG0014126	Anoalb_AALB008119-RA													
OG0014127	Anoalb_AALB014761-RA													
OG0014128	Anoalb_AALB014760-RA													
OG0014129	Anoalb_AALB014759-RA													
OG0014130	Anoalb_AALB014758-RA													
OG0014131	Anoalb_AALB008079-RA													
OG0014132	Anoalb_AALB014757-RA													
OG0014133	Anoalb_AALB008071-RA													
OG0014134	Anoalb_AALB014756-RA													
OG0014135	Anoalb_AALB014755-RA													
OG0014136	Anoalb_AALB014298-RA													
OG0014137	Anoalb_AALB002956-RA													
OG0014138	Anoalb_AALB002964-RA													
OG0014139	Anoalb_AALB002966-RA													
OG0014140	Anoalb_AALB014300-RA													
OG0014141	Anoalb_AALB003004-RA													
OG0014142	Anoalb_AALB003005-RA													
OG0014143	Anoalb_AALB014301-RA													
OG0014144	Anoalb_AALB003006-RA													
OG0014145	Anoalb_AALB003007-RA													
OG0014146	Anoalb_AALB014302-RA													
OG0014147	Anoalb_AALB014303-RA													
OG0014148	Anoalb_AALB014304-RA													
OG0014149	Anoalb_AALB003040-RA													
OG0014150	Anoalb_AALB014305-RA													
OG0014151	Anoalb_AALB003073-RA													
OG0014152	Anoalb_AALB014307-RA													
OG0014153	Anoalb_AALB014308-RA													
OG0014154	Anoalb_AALB014309-RA													
OG0014155	Anoalb_AALB003101-RA													
OG0014156	Anoalb_AALB003105-RA													
OG0014157	Anoalb_AALB014310-RA													
OG0014158	Anoalb_AALB003110-RA													
OG0014159	Anoalb_AALB003149-RA													
OG0014160	Anoalb_AALB014313-RA													
OG0014161	Anoalb_AALB014314-RA													
OG0014162	Anoalb_AALB014315-RA													
OG0014163	Anoalb_AALB014316-RB													
OG0014164	Anoalb_AALB014317-RA													
OG0014165	Anoalb_AALB014318-RA													
OG0014166	Anoalb_AALB014357-RA													
OG0014167	Anoalb_AALB003675-RA													
OG0014168	Anoalb_AALB014356-RA													
OG0014169	Anoalb_AALB014354-RA													
OG0014170	Anoalb_AALB014353-RA													
OG0014171	Anoalb_AALB003611-RA													
OG0014172	Anoalb_AALB014352-RA													
OG0014173	Anoalb_AALB014351-RA													
OG0014174	Anoalb_AALB014350-RA													
OG0014175	Anoalb_AALB014349-RA													
OG0014176	Anoalb_AALB003588-RA													
OG0014177	Anoalb_AALB014347-RA													
OG0014178	Anoalb_AALB014345-RA													
OG0014179	Anoalb_AALB003540-RA													
OG0014180	Anoalb_AALB003537-RA													
OG0014181	Anoalb_AALB014344-RA													
OG0014182	Anoalb_AALB014343-RA													
OG0014183	Anoalb_AALB014342-RA													
OG0014184	Anoalb_AALB003524-RA													
OG0014185	Anoalb_AALB003518-RA													
OG0014186	Anoalb_AALB003512-RA													
OG0014187	Anoalb_AALB014341-RA													
OG0014188	Anoalb_AALB014340-RA													
OG0014189	Anoalb_AALB003457-RA													
OG0014190	Anoalb_AALB003450-RA													
OG0014191	Anoalb_AALB014339-RA													
OG0014192	Anoalb_AALB014337-RA													
OG0014193	Anoalb_AALB014336-RA													
OG0014194	Anoalb_AALB014335-RA													
OG0014195	Anoalb_AALB003393-RA													
OG0014196	Anoalb_AALB014334-RA													
OG0014197	Anoalb_AALB014333-RA													
OG0014198	Anoalb_AALB014332-RA													
OG0014199	Anoalb_AALB014331-RA													
OG0014200	Anoalb_AALB014330-RA													
OG0014201	Anoalb_AALB002792-RA													
OG0014202	Anoalb_AALB014270-RA													
OG0014203	Anoalb_AALB014269-RB													
OG0014204	Anoalb_AALB014267-RA													
OG0014205	Anoalb_AALB014265-RA													
OG0014206	Anoalb_AALB014264-RA													
OG0014207	Anoalb_AALB002742-RA													
OG0014208	Anoalb_AALB014262-RA													
OG0014209	Anoalb_AALB014261-RA													
OG0014210	Anoalb_AALB014815-RB													
OG0014211	Anoalb_AALB008762-RA													
OG0014212	Anoalb_AALB014814-RA													
OG0014213	Anoalb_AALB014813-RA													
OG0014214	Anoalb_AALB014812-RA													
OG0014215	Anoalb_AALB014811-RA													
OG0014216	Anoalb_AALB008718-RA													
OG0014217	Anoalb_AALB008708-RA													
OG0014218	Anoalb_AALB014809-RA													
OG0014219	Anoalb_AALB014807-RA													
OG0014220	Anoalb_AALB014806-RA													
OG0014221	Anoalb_AALB008655-RA													
OG0014222	Anoalb_AALB008647-RA													
OG0014223	Anoalb_AALB008646-RA													
OG0014224	Anoalb_AALB008620-RA													
OG0014225	Anoalb_AALB014804-RA													
OG0014226	Anoalb_AALB008601-RA													
OG0014227	Anoalb_AALB014802-RA													
OG0014228	Anoalb_AALB014801-RA													
OG0014229	Anoalb_AALB014800-RA													
OG0014230	Anoalb_AALB008583-RA													
OG0014231	Anoalb_AALB008568-RA													
OG0014232	Anoalb_AALB014799-RA													
OG0014233	Anoalb_AALB008564-RA													
OG0014234	Anoalb_AALB014798-RA													
OG0014235	Anoalb_AALB014797-RA													
OG0014236	Anoalb_AALB008551-RA													
OG0014237	Anoalb_AALB008549-RA													
OG0014238	Anoalb_AALB014796-RA													
OG0014239	Anoalb_AALB014795-RA													
OG0014240	Anoalb_AALB014794-RA													
OG0014241	Anoalb_AALB014793-RA													
OG0014242	Anoalb_AALB008527-RA													
OG0014243	Anoalb_AALB014792-RA													
OG0014244	Anoalb_AALB015009-RA													
OG0014245	Anoalb_AALB014272-RA													
OG0014246	Anoalb_AALB002820-RA													
OG0014247	Anoalb_AALB014275-RA													
OG0014248	Anoalb_AALB014277-RA													
OG0014249	Anoalb_AALB014280-RA													
OG0014250	Anoalb_AALB002847-RA													
OG0014251	Anoalb_AALB014281-RA													
OG0014252	Anoalb_AALB014282-RA													
OG0014253	Anoalb_AALB014283-RA													
OG0014254	Anoalb_AALB014284-RA													
OG0014255	Anoalb_AALB014285-RA													
OG0014256	Anoalb_AALB014287-RA													
OG0014257	Anoalb_AALB014288-RA													
OG0014258	Anoalb_AALB014290-RA													
OG0014259	Anoalb_AALB014291-RA													
OG0014260	Anoalb_AALB014292-RA													
OG0014261	Anoalb_AALB014293-RA													
OG0014262	Anoalb_AALB002904-RA													
OG0014263	Anoalb_AALB014294-RA													
OG0014264	Anoalb_AALB014296-RA													
OG0014265	Anoalb_AALB008797-RA													
OG0014266	Anoalb_AALB014819-RA													
OG0014267	Anoalb_AALB014818-RA													
OG0014268	Anoalb_AALB008789-RA													
OG0014269	Anoalb_AALB008781-RA													
OG0014270	Anoalb_AALB008774-RA													
OG0014271	Anoalb_AALB014816-RB													
OG0014272	Anoalb_AALB009748-RA													
OG0014273	Anoalb_AALB014652-RA													
OG0014274	Anoalb_AALB014655-RA													
OG0014275	Anoalb_AALB014656-RA													
OG0014276	Anoalb_AALB007316-RA													
OG0014277	Anoalb_AALB014657-RA													
OG0014278	Anoalb_AALB007319-RA													
OG0014279	Anoalb_AALB007348-RA													
OG0014280	Anoalb_AALB014659-RA													
OG0014281	Anoalb_AALB014319-RA													
OG0014282	Anoalb_AALB014322-RA													
OG0014283	Anoalb_AALB003228-RA													
OG0014284	Anoalb_AALB003261-RA													
OG0014285	Anoalb_AALB003278-RA													
OG0014286	Anoalb_AALB014403-RA													
OG0014287	Anoalb_AALB004097-RA													
OG0014288	Anoalb_AALB014404-RA													
OG0014289	Anoalb_AALB014405-RA													
OG0014290	Anoalb_AALB004116-RA													
OG0014291	Anoalb_AALB004123-RA													
OG0014292	Anoalb_AALB014406-RA													
OG0014293	Anoalb_AALB014407-RB													
OG0014294	Anoalb_AALB004136-RA													
OG0014295	Anoalb_AALB014408-RA													
OG0014296	Anoalb_AALB014409-RA													
OG0014297	Anoalb_AALB004149-RA													
OG0014298	Anoalb_AALB004152-RA													
OG0014299	Anoalb_AALB014410-RA													
OG0014300	Anoalb_AALB004156-RA													
OG0014301	Anoalb_AALB004175-RA													
OG0014302	Anoalb_AALB004204-RA													
OG0014303	Anoalb_AALB014411-RA													
OG0014304	Anoalb_AALB004243-RA													
OG0014305	Anoalb_AALB014412-RA													
