gene	family
Lgig_209271	MLL1_MLL2
Lgig_215812	MLL1_MLL2
Mbre_XP_001747654	MLL1_MLL2
Mgut_mgv1a000532m	MLL1_MLL2
Mgut_mgv1a000575m	MLL1_MLL2
Mlei_ML015714a	MLL1_MLL2
Mlei_ML41301a	MLL1_MLL2
Mpus_Micpu21435	MLL1_MLL2
Mvib_comp12897_c0_seq1_fr5	MLL1_MLL2
Nvec_XP_001622958	MLL1_MLL2
Nvec_XP_001623359	MLL1_MLL2
Nvec_XP_001629652	MLL1_MLL2
Ocar_g10414_t1	MLL1_MLL2
Otau_XP_003078017	MLL1_MLL2
Pfal_C6KTD2_HKNMT	MLL1_MLL2
Pinf_XP_002895674	MLL1_MLL2
Pinf_XP_002905874	MLL1_MLL2
Pmar_XP_002765683	MLL1_MLL2
Pmar_XP_002785717	MLL1_MLL2
Ppat_XP_001766115	MLL1_MLL2
Ppat_XP_001767466	MLL1_MLL2
Ppat_XP_001777592	MLL1_MLL2
Ppat_XP_001780587	MLL1_MLL2
Ptet_A0D3D7_A0D3D7	MLL1_MLL2
Ptri_XP_002181282	MLL1_MLL2
Ptri_XP_002184115	MLL1_MLL2
Ptri_XP_002184116	MLL1_MLL2
Pyez_28201_g6931	MLL1_MLL2
Sagg_21866	MLL1_MLL2
Sarc_SARC_04312	MLL1_MLL2
Sbic_02g016820	MLL1_MLL2
Sbic_03g001640	MLL1_MLL2
Sbic_03g029850	MLL1_MLL2
Scil_30598	MLL1_MLL2
Scil_6054	MLL1_MLL2
Skow_XP_002736118	MLL1_MLL2
Skow_XP_002740398	MLL1_MLL2
Smoe_XP_002961390	MLL1_MLL2
Smoe_XP_002964071	MLL1_MLL2
Smoe_XP_002974368	MLL1_MLL2
Smoe_XP_002975241	MLL1_MLL2
Smoe_XP_002975450	MLL1_MLL2
Smoe_XP_002980880	MLL1_MLL2
Smoe_XP_002982095	MLL1_MLL2
Smoe_XP_002992195	MLL1_MLL2
Spur_XP_003724175	MLL1_MLL2
Spur_XP_003724176	MLL1_MLL2
Spur_XP_795757	MLL1_MLL2
Sros_PTSG_07559	MLL1_MLL2
Sros_PTSG_12693	MLL1_MLL2
Tadh_XP_002112190	MLL1_MLL2
Tadh_XP_002117983	MLL1_MLL2
Tgon_XP_002366334	MLL1_MLL2
Tpse_XP_002291362	MLL1_MLL2
Tthe_XP_001029767	MLL1_MLL2
Ttra_AMSG_03613	MLL1_MLL2
Tvag_XP_001584257	MLL1_MLL2
Vcar_XP_002947900	MLL1_MLL2
Vcar_XP_002956071	MLL1_MLL2
Acoe_045_00133	NSD3
Apar_comp19989_c1_seq1_fr6	NSD3
Aque_XP_003384664	NSD3
Atha_AT1G76710	NSD3
Bdis_5g10110	NSD3
Bnat_85862	NSD3
Cfra_0207T1	NSD3
Cgig_10013318	NSD3
Cint_ENSCINP00000025831	NSD3
Ctel_93578	NSD3
Ddis_XP_647576	NSD3
Dmel_FBpp0084636	NSD3
Gthe_61291	NSD3
Hmag_XP_002164851	NSD3
Hsap_ENSP00000313983	NSD3
Hsap_ENSP00000372347	NSD3
Hsap_ENSP00000395929	NSD3
Ihof_7061	NSD3
Lgig_123404	NSD3
Lgig_192045	NSD3
Mbre_XP_001747378	NSD3
Mgut_mgv1a005421m	NSD3
Mlei_ML033625a	NSD3
Mvib_comp10766_c1_seq1_fr4	NSD3
Nvec_XP_001635219	NSD3
Ocar_g3171_t1	NSD3
Ppal_EFA81031_1	NSD3
Sarc_SARC_06292	NSD3
Sbic_06g016720	NSD3
Scil_16325	NSD3
Scil_28186	NSD3
Skow_XP_002731935	NSD3
Spur_XP_785219	NSD3
Sros_PTSG_09362	NSD3
Tadh_XP_002116791	NSD3
Adig_17466v101523	PRD2
Adig_17948v114072	PRD2
Adig_2065v103432	PRD2
Adig_2066v103428	PRD2
Adig_2067v103430	PRD2
Adig_2069v103431	PRD2
Adig_2070v103434	PRD2
Adig_23202v118285	PRD2
Adig_2550v120377	PRD2
Adig_3112v120858	PRD2
Adig_5324v122563	PRD2
Amac_01030	PRD2
Amac_02546	PRD2
Aque_XP_003387259	PRD2
Aque_XP_003387382	PRD2
Cang_28328	PRD2
Cgig_10001616	PRD2
Cgig_10013102	PRD2
Cgig_10016009	PRD2
Cgig_10027610	PRD2
Cint_ENSCINP00000000048	PRD2
Ctel_103287	PRD2
Ctel_202965	PRD2
Ctel_75757	PRD2
Hmag_XP_002154805	PRD2
Hsap_ENSP00000235372	PRD2
Hsap_ENSP00000276594	PRD2
Hsap_ENSP00000358092	PRD2
Hsap_ENSP00000384725	PRD2
Lgig_114994	PRD2
Lgig_153726	PRD2
Lgig_156439	PRD2
Lgig_169169	PRD2
Mlei_ML124240a	PRD2
Nvec_XP_001628558	PRD2
Nvec_XP_001630482	PRD2
Nvec_XP_001630839	PRD2
Nvec_XP_001630857	PRD2
Nvec_XP_001634375	PRD2
Nvec_XP_001638198	PRD2
Nvec_XP_001640186	PRD2
Nvec_XP_001641018	PRD2
Ocar_g8397_t1	PRD2
Pisp_68567	PRD2
Pisp_69677	PRD2
Pyez_35808_g8561	PRD2
Scil_48982	PRD2
Scil_70624	PRD2
Scil_95376	PRD2
Skow_NP_001161634	PRD2
Skow_XP_002737396	PRD2
Skow_XP_002739286	PRD2
Spur_XP_001200656	PRD2
Spur_XP_003724787	PRD2
Spur_XP_790201	PRD2
Spur_XP_792487	PRD2
Spur_XP_799022	PRD2
Tadh_XP_002109980	PRD2
Acas_g11544	SETD1A
Acoe_017_00002	SETD1A
Amac_06505	SETD1A
Amac_13344	SETD1A
Amac_13595	SETD1A
Amac_15452	SETD1A
Apar_comp23409_c1_seq1_fr4	SETD1A
Aque_XP_003385238	SETD1A
Atha_AT5G42400	SETD1A
Bden_Batde5_35515	SETD1A
Bdis_3g13430	SETD1A
Bdis_4g01790	SETD1A
Bnat_37368	SETD1A
Cang_102567	SETD1A
Cang_107102	SETD1A
Ccin_CC1G_15535	SETD1A
Ccor_82240	SETD1A
Ccri_T00001983001	SETD1A
Cele_C26E6_9c	SETD1A
Cfra_6039T1	SETD1A
Cgig_10017490	SETD1A
Cint_ENSCINP00000011316	SETD1A
Clim_g610	SETD1A
Cmer_CMG025C	SETD1A
Cneo_XP_570558	SETD1A
Cowc_CAOG_03580	SETD1A
Cpar_29058Contig6840	SETD1A
Crei_XP_001702027	SETD1A
Crev_25774	SETD1A
Ctel_150651	SETD1A
Ddis_XP_636258	SETD1A
Dmel_FBpp0112592	SETD1A
Ehux_206556	SETD1A
Falb_H696_00716T0	SETD1A
Glam_XP_001708058	SETD1A
Gpro_96002	SETD1A
Gthe_66907	SETD1A
Hmag_XP_002161122	SETD1A
Hsap_ENSP00000262519	SETD1A
Hsap_ENSP00000267197	SETD1A
Ihof_383	SETD1A
Lgig_138486	SETD1A
Mbre_XP_001748661	SETD1A
Mcir_Mucci2_137855	SETD1A
Mgut_mgv1a023175m	SETD1A
Mlei_ML056953a	SETD1A
Mver_03320	SETD1A
Mvib_comp12474_c0_seq1_fr5	SETD1A
Mvib_comp3625_c0_seq1_fr6	SETD1A
Ncra_1100NCU01206	SETD1A
Ngru_XP_002683109	SETD1A
Nvec_XP_001636609	SETD1A
Ocar_g9304_t1	SETD1A
Pbla_Phybl2_20422	SETD1A
Pbla_Phybl2_34196	SETD1A
Pisp_26066	SETD1A
Ppal_EFA75361_1	SETD1A
Ppat_XP_001768289	SETD1A
Ppat_XP_001771062	SETD1A
Pyez_40134_g9249	SETD1A
Rall_3554	SETD1A
Rall_5515	SETD1A
Rfil_3789713_2s	SETD1A
Rfil_92400_1cf1	SETD1A
Rirr_66612	SETD1A
Rory_11085	SETD1A
Rory_5510	SETD1A
Sarc_SARC_05279	SETD1A
Sbic_08g002530	SETD1A
Scer_SCRT_04833	SETD1A
Scil_54447	SETD1A
Smoe_XP_002962407	SETD1A
Smoe_XP_002963921	SETD1A
Smoe_XP_002965618	SETD1A
Spom_NP_587812_1	SETD1A
Spun_SPPG_04443	SETD1A
Spur_XP_003727587	SETD1A
Sros_PTSG_11893	SETD1A
Tadh_XP_002117297	SETD1A
Tmel_XP_002840838	SETD1A
Ttra_AMSG_09203	SETD1A
Umar_174815	SETD1A
Umay_XP_758824	SETD1A
Vcar_XP_002954958	SETD1A
Aque_XP_003387124	SETD1B
Cele_R05D3_11	SETD1B
Cgig_10026622	SETD1B
Cint_ENSCINP00000019485	SETD1B
Ctel_224568	SETD1B
Dmel_FBpp0111689	SETD1B
Hmag_XP_002169411	SETD1B
Hsap_ENSP00000271640	SETD1B
Hsap_ENSP00000326477	SETD1B
Lgig_111681	SETD1B
Nvec_XP_001627377	SETD1B
Ocar_g3910_t1	SETD1B
Scil_27079	SETD1B
Skow_XP_002731923	SETD1B
Spur_XP_003723917	SETD1B
Tadh_XP_002117622	SETD1B
Tadh_XP_002117623	SETD1B
Aano_F0Y2P1	SETD2
Acas_g5506	SETD2
Amac_11220	SETD2
Apar_comp15960_c0_seq1_fr5	SETD2
Aque_XP_003387717	SETD2
Atha_AT1G77300	SETD2
Bden_Batde5_90118	SETD2
Bdis_3g45727	SETD2
Cang_123522	SETD2
Cang_125716	SETD2
Ccin_CC1G_09124	SETD2
Ccor_47936	SETD2
Ccri_T00005569001	SETD2
Cfra_7962T1	SETD2
Cgig_10007074	SETD2
Cint_ENSCINP00000025949	SETD2
Clim_g2911	SETD2
Cneo_XP_572085	SETD2
Cowc_CAOG_03906	SETD2
Cpar_12738Contig6713	SETD2
Crei_XP_001694743	SETD2
Crev_88476	SETD2
Ctel_160470	SETD2
Cvar_EFN59819	SETD2
Dmel_FBpp0073610	SETD2
Ehux_425757	SETD2
Esil_CBN74517	SETD2
Esil_CBN76570	SETD2
Falb_H696_01829T0	SETD2
Falb_H696_01829T1	SETD2
Gpro_455465	SETD2
Gthe_47131	SETD2
Gthe_65244	SETD2
Hmag_XP_002169363	SETD2
Hsap_ENSP00000386759	SETD2
Ihof_10001	SETD2
Lgig_227153	SETD2
Mbre_XP_001747356	SETD2
Mcir_Mucci2_34233	SETD2
Mcir_Mucci2_38052	SETD2
Mlei_ML09663a	SETD2
Mpus_Micpu164960	SETD2
Mver_01422	SETD2
Mver_11821	SETD2
Mvib_comp16013_c3_seq1_fr4	SETD2
Ncra_243NCU00269	SETD2
Ngad_06395	SETD2
Ngru_XP_002675415	SETD2
Ngru_XP_002679121	SETD2
Nvec_XP_001635826	SETD2
Pbla_Phybl2_133104	SETD2
Pinf_XP_002899256	SETD2
Pinf_XP_002900479	SETD2
Pinf_XP_002903302	SETD2
Pinf_XP_002903975	SETD2
Pinf_XP_002906394	SETD2
Pinf_XP_002997080	SETD2
Pinf_XP_002999193	SETD2
Pisp_22950	SETD2
Ppat_XP_001757655	SETD2
Ppat_XP_001774900	SETD2
Ptet_A0BJ67_A0BJ67	SETD2
Ptet_A0DQ87_A0DQ87	SETD2
Ptet_A0DZ39_A0DZ39	SETD2
Ptri_XP_002185333	SETD2
Rall_1732	SETD2
Rall_5258	SETD2
Rfil_3784744_2s	SETD2
Rirr_34964	SETD2
Rory_1193	SETD2
Rory_16719	SETD2
Rory_5504	SETD2
Sarc_SARC_00855	SETD2
Sbic_04g022620	SETD2
Scer_SCRT_03509	SETD2
Scil_27866	SETD2
Scil_58119	SETD2
Skow_XP_002733567	SETD2
Smoe_XP_002982470	SETD2
Spom_NP_594980_1	SETD2
Spun_SPPG_06324	SETD2
Spur_XP_003725626	SETD2
Spur_XP_783359	SETD2
Sros_PTSG_08872	SETD2
Tadh_XP_002110866	SETD2
Tmel_XP_002838740	SETD2
Tpse_XP_002296152	SETD2
Tthe_XP_001007909	SETD2
Ttra_AMSG_02056	SETD2
Umar_257554	SETD2
Umay_XP_758647	SETD2
Vcar_XP_002954751	SETD2
Acoe_002_01366	SETD3
Apar_comp23864_c1_seq1_fr6	SETD3
Atha_AT5G17240	SETD3
Bden_Batde5_86177	SETD3
Bdis_1g28267	SETD3
Bnat_89596	SETD3
Cele_Y71H2AM_8	SETD3
Cfra_1641T1	SETD3
Cint_ENSCINP00000009807	SETD3
Cowc_CAOG_03170	SETD3
Ctel_181634	SETD3
Ddis_XP_637036	SETD3
Ddis_XP_646263	SETD3
Gpro_40672	SETD3
Gthe_106158	SETD3
Gthe_109909	SETD3
Hsap_ENSP00000327436	SETD3
Ihof_9696	SETD3
Lgig_118649	SETD3
Mbre_XP_001745126	SETD3
Mpus_Micpu60905	SETD3
Nvec_XP_001633261	SETD3
Ocar_g6160_t1	SETD3
Pinf_XP_002997928	SETD3
Pmar_XP_002775574	SETD3
Ppal_EFA82762_1	SETD3
Ppat_XP_001763237	SETD3
Ptet_A0CEH6_A0CEH6	SETD3
Sbic_02g032970	SETD3
Scil_45327	SETD3
Smoe_XP_002991099	SETD3
Smoe_XP_002991656	SETD3
Spur_XP_798530	SETD3
Aano_F0YNA7	SETD4
Acas_g7267	SETD4
Aker_60871	SETD4
Amac_05234	SETD4
Apar_comp15138_c0_seq1_fr6	SETD4
Apar_comp69060_c0_seq1_fr5	SETD4
Bden_Batde5_23340	SETD4
Bnat_142128	SETD4
Bnat_47055	SETD4
Bnat_51539	SETD4
Bnat_87809	SETD4
Bnat_91120	SETD4
Bnat_91950	SETD4
Cang_64968	SETD4
Ccor_86723	SETD4
Ccri_T00000804001	SETD4
Cele_Y92H12BR_6	SETD4
Cint_ENSCINP00000020275	SETD4
Crei_XP_001693751	SETD4
Crev_10775	SETD4
Ctel_140019	SETD4
Cvar_EFN51653	SETD4
Gthe_134587	SETD4
Hmag_XP_002160713	SETD4
Hsap_ENSP00000329189	SETD4
Ihof_3025	SETD4
Ihof_8776	SETD4
Lgig_210687	SETD4
Mcir_Mucci2_183066	SETD4
Mver_10454	SETD4
Mvib_comp9388_c0_seq1_fr4	SETD4
Ncra_1923NCU02158	SETD4
Ngad_00769	SETD4
Nvec_XP_001625323	SETD4
Pbla_Phybl2_161758	SETD4
Ppal_EFA76078_1	SETD4
Ptet_A0BS83_A0BS83	SETD4
Ptet_A0CG77_A0CG77	SETD4
Ptet_A0D0I4_A0D0I4	SETD4
Ptet_A0D167_A0D167	SETD4
Ptet_A0D226_A0D226	SETD4
Ptet_A0D4G4_A0D4G4	SETD4
Ptet_A0DC90_A0DC90	SETD4
Ptet_A0DHF9_A0DHF9	SETD4
Ptet_A0DV50_A0DV50	SETD4
Ptet_A0ECS5_A0ECS5	SETD4
Ptet_A0EI13_A0EI13	SETD4
Ptri_XP_002183265	SETD4
Ptri_XP_002183467	SETD4
Rall_5223	SETD4
Rfil_24771_5c	SETD4
Rfil_51688_4s1f1	SETD4
Rirr_97053	SETD4
Rory_10421	SETD4
Scil_69782	SETD4
Skow_XP_002737626	SETD4
Spom_NP_588349_1	SETD4
Spur_XP_001201449	SETD4
Tmel_XP_002838074	SETD4
Tpse_XP_002286796	SETD4
Tpse_XP_002295030	SETD4
Tthe_XP_001008992	SETD4
Tthe_XP_001009518	SETD4
Tthe_XP_001021989	SETD4
Umar_225992	SETD4
Vcar_XP_002949173	SETD4
Adig_11240v107992	SETD5
Adig_13723v110302	SETD5
Adig_17690v113829	SETD5
Aque_XP_003383073	SETD5
Cang_50153	SETD5
Cele_Y73B3B_2	SETD5
Cgig_10010657	SETD5
Cint_ENSCINP00000024302	SETD5
Clim_g2896	SETD5
Cowc_CAOG_02237	SETD5
Crev_10785	SETD5
Dmel_FBpp0075510	SETD5
Hmag_XP_002158654	SETD5
Hsap_ENSP00000257745	SETD5
Hsap_ENSP00000384114	SETD5
Ihof_9932	SETD5
Lgig_139900	SETD5
Mbre_XP_001745803	SETD5
Mcir_Mucci2_159353	SETD5
Mcir_Mucci2_163371	SETD5
Mlei_ML01132a	SETD5
Mver_04374	SETD5
Nvec_XP_001637486	SETD5
Ocar_g2500_t1	SETD5
Pbla_Phybl2_145894	SETD5
Ppal_EFA86338_1	SETD5
Rall_1841	SETD5
Rirr_253856	SETD5
Rory_14883	SETD5
Rory_4092	SETD5
Scer_SCRT_03567	SETD5
Scer_SCRT_04049	SETD5
Scil_12689	SETD5
Scil_60754	SETD5
Scil_83602	SETD5
Scil_9219	SETD5
Spom_NP_594837_1	SETD5
Spur_XP_003726851	SETD5
Spur_XP_785251	SETD5
Tadh_XP_002117828	SETD5
Acoe_014_00106	SETD6
Aker_99331	SETD6
Amac_13919	SETD6
Apar_comp18566_c0_seq1_fr6	SETD6
Aque_XP_003382977	SETD6
Atha_AT3G56570	SETD6
Bden_Batde5_87914	SETD6
Bdis_2g56792	SETD6
Bnat_69062	SETD6
Bnat_79704	SETD6
Cang_156814	SETD6
Ccin_CC1G_03233	SETD6
Ccor_17587	SETD6
Cfra_3222T1	SETD6
Cgig_10004098	SETD6
Cint_ENSCINP00000020186	SETD6
Cneo_XP_567975	SETD6
Cneo_XP_568860	SETD6
Crei_XP_001694672	SETD6
Crei_XP_001703371	SETD6
Ctel_151537	SETD6
Cvar_EFN55406	SETD6
Ehux_104231	SETD6
Ehux_108977	SETD6
Ehux_111657	SETD6
Ehux_220349	SETD6
Ehux_242773	SETD6
Esil_CBJ30557	SETD6
Falb_H696_00372T0	SETD6
Hsap_ENSP00000219315	SETD6
Ihof_871	SETD6
Lgig_217400	SETD6
Mbre_XP_001748684	SETD6
Mcir_Mucci2_106194	SETD6
Mcir_Mucci2_108485	SETD6
Mgut_mgv1a005032m	SETD6
Mpus_Micpu197287	SETD6
Mpus_Micpu39853	SETD6
Mver_06965	SETD6
Mver_07617	SETD6
Ncra_8714NCU09827	SETD6
Nvec_XP_001629819	SETD6
Ocar_g5802_t1	SETD6
Otau_XP_003079418	SETD6
Otau_XP_003082984	SETD6
Otau_XP_003083827	SETD6
Pisp_1176	SETD6
Pmar_XP_002765694	SETD6
Pmar_XP_002785721	SETD6
Ppal_EFA82146_1	SETD6
Ptri_XP_002186360	SETD6
Rirr_156604	SETD6
Rory_11187	SETD6
Sbic_03g041640	SETD6
Scer_SCRT_00269	SETD6
Scer_SCRT_02936	SETD6
Scil_68011	SETD6
Smoe_XP_002977945	SETD6
Smoe_XP_002986909	SETD6
Spom_NP_594072_1	SETD6
Spur_XP_787519	SETD6
Sros_PTSG_01368	SETD6
Tpse_XP_002293161	SETD6
Umar_246787	SETD6
Umar_261166	SETD6
Umay_XP_759768	SETD6
Vcar_XP_002951655	SETD6
Vcar_XP_002952617	SETD6
Apar_comp12770_c0_seq1_fr4	SETD7
Bnat_90901	SETD7
Cfra_2578T1	SETD7
Ddis_XP_636856	SETD7
Esil_CBJ32293	SETD7
Falb_H696_04941T0	SETD7
Gthe_99101	SETD7
Hsap_ENSP00000274031	SETD7
Ihof_5851	SETD7
Ppal_EFA77773_1	SETD7
Rfil_3780083_1s1f1	SETD7
Sarc_SARC_15066	SETD7
Scil_69355	SETD7
Spun_SPPG_00148	SETD7
Tadh_XP_002112735	SETD7
Acas_g15151	SETD8
Apar_comp22257_c0_seq1_fr4	SETD8
Aque_XP_003387132	SETD8
Cele_T26A5_7a	SETD8
Cfra_1842T1	SETD8
Cgig_10000979	SETD8
Cgig_10001890	SETD8
Cgig_10001891	SETD8
Cgig_10003511	SETD8
Cgig_10016754	SETD8
Cgig_10021314	SETD8
Cgig_10022534	SETD8
Cint_ENSCINP00000025690	SETD8
Clim_g757	SETD8
Cowc_CAOG_07681	SETD8
Cpar_12930Contig6860	SETD8
Cpar_20263Contig25695	SETD8
Ctel_172225	SETD8
Ctel_195572	SETD8
Ctel_210805	SETD8
Ctel_214008	SETD8
Ctel_49838	SETD8
Dmel_FBpp0082387	SETD8
Ehux_233107	SETD8
Esil_CBJ48999	SETD8
Esil_CBJ49018	SETD8
Hmag_XP_002154569	SETD8
Hmag_XP_002155522	SETD8
Hmag_XP_002158221	SETD8
Hmag_XP_002164363	SETD8
Hmag_XP_002166795	SETD8
Hmag_XP_002168824	SETD8
Hsap_ENSP00000332995	SETD8
Ihof_7590	SETD8
Lgig_117025	SETD8
Lgig_175490	SETD8
Lgig_175732	SETD8
Mbre_XP_001744129	SETD8
Mlei_ML024912a	SETD8
Mlei_ML19101a	SETD8
Mpus_Micpu57043	SETD8
Mvib_comp6636_c1_seq1_fr4	SETD8
Nvec_XP_001629745	SETD8
Ocar_g7553_t1	SETD8
Pfal_Q8I1Z0_Q8I1Z0	SETD8
Ppal_EFA79695_1	SETD8
Sarc_SARC_03923	SETD8
Scil_63960	SETD8
Skow_XP_002737721	SETD8
Spur_XP_001198325	SETD8
Spur_XP_003725758	SETD8
Spur_XP_003728212	SETD8
Spur_XP_003730416	SETD8
Spur_XP_003731178	SETD8
Spur_XP_797080	SETD8
Sros_PTSG_09393	SETD8
Tadh_XP_002114992	SETD8
Tgon_XP_002371298	SETD8
Cele_Y41D4B_12a	SETMAR
Cgig_10016376	SETMAR
Cgig_10028705	SETMAR
Cneo_XP_572587	SETMAR
Ctel_112305	SETMAR
Dmel_FBpp0112128	SETMAR
Ehux_63772	SETMAR
Hsap_ENSP00000373354	SETMAR
Lgig_116536	SETMAR
Nvec_XP_001641871	SETMAR
Skow_XP_002731395	SETMAR
Spur_XP_782916	SETMAR
Acas_g2756	SMYD3
Adig_18862v114854	SMYD3
Apar_comp18210_c0_seq1_fr4	SMYD3
Atha_AT1G33400	SMYD3
Bden_Batde5_35411	SMYD3
Bden_Batde5_87992	SMYD3
Bdis_3g30360	SMYD3
Bnat_71449	SMYD3
Cfra_1127T1	SMYD3
Cint_ENSCINP00000006865	SMYD3
Cint_ENSCINP00000013431	SMYD3
