gene	orthogroup	ref_sps	relative_age	outgroup_sps
Nvec|EDO28652	OG0001000	Hsap	13.0	Hsap,Atha
Mlei|ML053624a-RA	OG0001000	Hsap	13.0	Hsap,Atha
Hsap|ENST00000276440	OG0001000	Hsap	13.0	Hsap,Atha
Lgig|LotgiT63886	OG0001000	Hsap	13.0	Hsap,Atha
Falb|H696_01173T0	OG0001000	Hsap	13.0	Hsap,Atha
Lgig|LotgiT123182	OG0001000	Hsap	13.0	Hsap,Atha
Mlei|ML056513a-RA	OG0001000	Hsap	13.0	Hsap,Atha
Tadh|TriadT58664	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO48794	OG0001000	Hsap	13.0	Hsap,Atha
Ocar|g7234	OG0001000	Hsap	13.0	Hsap,Atha
Ngru|EFC46922	OG0001000	Hsap	13.0	Hsap,Atha
Nvec|EDO28006	OG0001000	Hsap	13.0	Hsap,Atha
Hsap|ENST00000256935	OG0001000	Hsap	13.0	Hsap,Atha
Cneo|CNAG_04241T1	OG0001000	Hsap	13.0	Hsap,Atha
Ocar|g7235	OG0001000	Hsap	13.0	Hsap,Atha
Sros|EGD79838	OG0001000	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE2258	OG0001000	Hsap	13.0	Hsap,Atha
Gpro|mRNA_13542	OG0001000	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_134585	OG0001000	Hsap	13.0	Hsap,Atha
Acas|ELR23200	OG0001000	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_127879	OG0001000	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_128657	OG0001000	Hsap	13.0	Hsap,Atha
Dmel|FBtr0330304	OG0001000	Hsap	13.0	Hsap,Atha
Lgig|LotgiT123192	OG0001000	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_68136	OG0001000	Hsap	13.0	Hsap,Atha
Cowc|CAOG_05684T0	OG0001000	Hsap	13.0	Hsap,Atha
Gpro|mRNA_15163	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_07196T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_6036	OG0001001	Hsap	13.0	Hsap,Atha
Acas|ELR23265	OG0001001	Hsap	13.0	Hsap,Atha
Cneo|CNAG_02455T0	OG0001001	Hsap	13.0	Hsap,Atha
Atha|AT2G01170.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_7917	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_09293T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_14229	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_15202	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_02756T0	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPCC74.04.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_4798	OG0001001	Hsap	13.0	Hsap,Atha
Ppat|PP1S47_191V6.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_17842	OG0001001	Hsap	13.0	Hsap,Atha
Crei|EDP07419	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPAPB24D3.02c.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_10628	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPAC1039.01.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_6163	OG0001001	Hsap	13.0	Hsap,Atha
Crei|EDP04170	OG0001001	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000007219	OG0001001	Hsap	13.0	Hsap,Atha
Cneo|CNAG_05017T0	OG0001001	Hsap	13.0	Hsap,Atha
Ppat|PP1S255_9V6.1	OG0001001	Hsap	13.0	Hsap,Atha
Crei|EDP09719	OG0001001	Hsap	13.0	Hsap,Atha
Cvar|IGS.gm_3_00186	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_08950T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_5374	OG0001001	Hsap	13.0	Hsap,Atha
Spun|SPPG_01830T0	OG0001001	Hsap	13.0	Hsap,Atha
Ppat|PP1S202_105V6.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_11739	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_18430	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_18429	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_14718	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_9424	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_17485	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_11619	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_1008	OG0001001	Hsap	13.0	Hsap,Atha
Cneo|CNAG_07695T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_12055	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPCC584.13.1	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_03195T0	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_03196T0	OG0001001	Hsap	13.0	Hsap,Atha
Ppat|PP1S165_129V6.1	OG0001001	Hsap	13.0	Hsap,Atha
Mver|MVEG_07751T0	OG0001001	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000005671	OG0001001	Hsap	13.0	Hsap,Atha
Crei|EDP03933	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_9364	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPBC15C4.04c.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_6003	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_7384	OG0001001	Hsap	13.0	Hsap,Atha
Cneo|CNAG_01535T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_15315	OG0001001	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000000660	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_6000	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_1	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPCC794.03.1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_3572	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPAC9.10.1	OG0001001	Hsap	13.0	Hsap,Atha
Cneo|CNAG_00574T1	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_11633	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_6565	OG0001001	Hsap	13.0	Hsap,Atha
Cneo|CNAG_05119T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_7376	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_10629	OG0001001	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000000617	OG0001001	Hsap	13.0	Hsap,Atha
Spun|SPPG_03051T0	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_7037	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_5438	OG0001001	Hsap	13.0	Hsap,Atha
Cvar|IGS.gm_4_00475	OG0001001	Hsap	13.0	Hsap,Atha
Gpro|mRNA_16128	OG0001001	Hsap	13.0	Hsap,Atha
Spom|SPAC11D3.08c.1	OG0001001	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE21584	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO28762	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE444	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0083967	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT180911	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE1449	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE13113	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0343848	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE21510	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0079757	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0079758	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0082478	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE8119	OG0001002	Hsap	13.0	Hsap,Atha
Ppat|PP1S6_213V6.1	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0085909	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE1483	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0332187	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0072692	OG0001002	Hsap	13.0	Hsap,Atha
Skow|rna14262	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO32059	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0332983	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE8904	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT127104	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT147251	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO37107	OG0001002	Hsap	13.0	Hsap,Atha
Skow|rna9933	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO42770	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT93664	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT130171	OG0001002	Hsap	13.0	Hsap,Atha
Acas|ELR13774	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0085305	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0085929	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO33779	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO44909	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0343621	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO43929	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO28661	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO32061	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0079786	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO40187	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT181204	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE3234	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0083122	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO32647	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT105659	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO33566	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO33565	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO48202	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE14325	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO33316	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO48407	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0077896	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE15176	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE24040	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO40183	OG0001002	Hsap	13.0	Hsap,Atha
Skow|rna14263	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE1498	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT129214	OG0001002	Hsap	13.0	Hsap,Atha
Nvec|EDO30026	OG0001002	Hsap	13.0	Hsap,Atha
Dmel|FBtr0077723	OG0001002	Hsap	13.0	Hsap,Atha
Ngru|EFC39388	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT135503	OG0001002	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE1438	OG0001002	Hsap	13.0	Hsap,Atha
Skow|rna13461	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT109590	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT93542	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT135531	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT153160	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT93092	OG0001002	Hsap	13.0	Hsap,Atha
Nk52|evm46s270	OG0001002	Hsap	13.0	Hsap,Atha
Skow|rna31291	OG0001002	Hsap	13.0	Hsap,Atha
Skow|rna31707	OG0001002	Hsap	13.0	Hsap,Atha
Lgig|LotgiT230274	OG0001003	Hsap	13.0	Hsap,Atha
Esil|Esi0069_0034.1	OG0001003	Hsap	13.0	Hsap,Atha
Ppat|PP1S16_302V6.1	OG0001003	Hsap	13.0	Hsap,Atha
Gpro|mRNA_14720	OG0001003	Hsap	13.0	Hsap,Atha
Gpro|mRNA_2452	OG0001003	Hsap	13.0	Hsap,Atha
Cvar|fgenesh3_pg.C_scaffold_31000040	OG0001003	Hsap	13.0	Hsap,Atha
Spun|SPPG_04254T0	OG0001003	Hsap	13.0	Hsap,Atha
Nvec|EDO47767	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT3G03900.1	OG0001003	Hsap	13.0	Hsap,Atha
Ppal|EFA82557	OG0001003	Hsap	13.0	Hsap,Atha
Ppat|PP1S336_17V6.1	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT4G14680.1	OG0001003	Hsap	13.0	Hsap,Atha
Dmel|FBtr0074888	OG0001003	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_36346	OG0001003	Hsap	13.0	Hsap,Atha
Cvar|IGS.gm_31_00097	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT2G14750.1	OG0001003	Hsap	13.0	Hsap,Atha
Falb|H696_03811T0	OG0001003	Hsap	13.0	Hsap,Atha
Skow|rna23017	OG0001003	Hsap	13.0	Hsap,Atha
Spom|SPAC1782.11.1	OG0001003	Hsap	13.0	Hsap,Atha
Tgon|TGME49_082230	OG0001003	Hsap	13.0	Hsap,Atha
Falb|H696_05659T0	OG0001003	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000009694	OG0001003	Hsap	13.0	Hsap,Atha
Mver|MVEG_09090T0	OG0001003	Hsap	13.0	Hsap,Atha
Ttra|AMSG_04799T0	OG0001003	Hsap	13.0	Hsap,Atha
Ppat|PP1S331_37V6.1	OG0001003	Hsap	13.0	Hsap,Atha
Cint|ENSCINT00000018567	OG0001003	Hsap	13.0	Hsap,Atha
Ncra|EFNCRT00000001246	OG0001003	Hsap	13.0	Hsap,Atha
Mbre|EDQ90282	OG0001003	Hsap	13.0	Hsap,Atha
Esil|Esi0359_0011.1	OG0001003	Hsap	13.0	Hsap,Atha
Ppat|PP1S166_97V6.1	OG0001003	Hsap	13.0	Hsap,Atha
Crei|EDP01296	OG0001003	Hsap	13.0	Hsap,Atha
Ihof|evm4s353	OG0001003	Hsap	13.0	Hsap,Atha
Ihof|evm5s353	OG0001003	Hsap	13.0	Hsap,Atha
Tadh|TriadT22394	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT1G19920.1	OG0001003	Hsap	13.0	Hsap,Atha
Acas|ELR23079	OG0001003	Hsap	13.0	Hsap,Atha
Esil|Esi0040_0074.1	OG0001003	Hsap	13.0	Hsap,Atha
Cowc|CAOG_02404T0	OG0001003	Hsap	13.0	Hsap,Atha
Hsap|ENST00000265174	OG0001003	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_52970	OG0001003	Hsap	13.0	Hsap,Atha
Aque|PAC15726928	OG0001003	Hsap	13.0	Hsap,Atha
Cvar|IGS.gm_9_00016	OG0001003	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_68627	OG0001003	Hsap	13.0	Hsap,Atha
Ocar|g8989	OG0001003	Hsap	13.0	Hsap,Atha
Hsap|ENST00000456849	OG0001003	Hsap	13.0	Hsap,Atha
Clim|evm231s157	OG0001003	Hsap	13.0	Hsap,Atha
Spun|SPPG_04029T0	OG0001003	Hsap	13.0	Hsap,Atha
Cvar|IGS.gm_6_00489	OG0001003	Hsap	13.0	Hsap,Atha
Crei|EDP03369	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT5G43780.1	OG0001003	Hsap	13.0	Hsap,Atha
Aque|PAC15709640	OG0001003	Hsap	13.0	Hsap,Atha
Cneo|CNAG_02202T0	OG0001003	Hsap	13.0	Hsap,Atha
Nk52|evm57s210	OG0001003	Hsap	13.0	Hsap,Atha
Ppat|PP1S245_6V6.1	OG0001003	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE9767	OG0001003	Hsap	13.0	Hsap,Atha
Spom|SPBC27.08c.1	OG0001003	Hsap	13.0	Hsap,Atha
Cfra|CFRG4556T1	OG0001003	Hsap	13.0	Hsap,Atha
Mver|MVEG_03635T0	OG0001003	Hsap	13.0	Hsap,Atha
Acas|ELR16825	OG0001003	Hsap	13.0	Hsap,Atha
Mlei|ML008113a-RA	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT5G67520.1	OG0001003	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_51478	OG0001003	Hsap	13.0	Hsap,Atha
Sros|EGD83518	OG0001003	Hsap	13.0	Hsap,Atha
Sarc|SARC_07204T0	OG0001003	Hsap	13.0	Hsap,Atha
Pinf|PITG_04010T0	OG0001003	Hsap	13.0	Hsap,Atha
Ppat|PP1S49_16V6.1	OG0001003	Hsap	13.0	Hsap,Atha
Ddis|DDB0230064	OG0001003	Hsap	13.0	Hsap,Atha
Cneo|CNAG_04215T0	OG0001003	Hsap	13.0	Hsap,Atha
Crei|EDP07432	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT4G39940.1	OG0001003	Hsap	13.0	Hsap,Atha
Atha|AT3G22890.1	OG0001003	Hsap	13.0	Hsap,Atha
Cvar|estExt_Genewise1.C_420011	OG0001003	Hsap	13.0	Hsap,Atha
Ppal|EFA74868	OG0001004	Hsap	13.0	Hsap,Atha
Ddis|DDB0218063	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR20042	OG0001004	Hsap	13.0	Hsap,Atha
Cfra|CFRG2408T1	OG0001004	Hsap	13.0	Hsap,Atha
Esil|Esi0104_0007.1	OG0001004	Hsap	13.0	Hsap,Atha
Atha|AT3G05250.1	OG0001004	Hsap	13.0	Hsap,Atha
Tthe|EAR85648	OG0001004	Hsap	13.0	Hsap,Atha
Cvar|IGS.gm_2_00089	OG0001004	Hsap	13.0	Hsap,Atha
Cowc|CAOG_00693T3	OG0001004	Hsap	13.0	Hsap,Atha
Esil|Esi0102_0033.1	OG0001004	Hsap	13.0	Hsap,Atha
Lgig|LotgiT208267	OG0001004	Hsap	13.0	Hsap,Atha
Sarc|SARC_11107T0	OG0001004	Hsap	13.0	Hsap,Atha
Hsap|ENST00000369367	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR22814	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR20069	OG0001004	Hsap	13.0	Hsap,Atha
Tadh|TriadT59362	OG0001004	Hsap	13.0	Hsap,Atha
Mver|MVEG_02419T0	OG0001004	Hsap	13.0	Hsap,Atha
Skow|rna24267	OG0001004	Hsap	13.0	Hsap,Atha
Ppat|PP1S382_38V6.1	OG0001004	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE11282	OG0001004	Hsap	13.0	Hsap,Atha
Ddis|DDB0188541	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR11203	OG0001004	Hsap	13.0	Hsap,Atha
Pinf|PITG_06980T0	OG0001004	Hsap	13.0	Hsap,Atha
Esil|Esi0102_0039.1	OG0001004	Hsap	13.0	Hsap,Atha
Atha|AT3G05670.1	OG0001004	Hsap	13.0	Hsap,Atha
Esil|Esi0425_0011.1	OG0001004	Hsap	13.0	Hsap,Atha
Cfra|CFRG5770T1	OG0001004	Hsap	13.0	Hsap,Atha
Aque|PAC15702801	OG0001004	Hsap	13.0	Hsap,Atha
Nvec|EDO32282	OG0001004	Hsap	13.0	Hsap,Atha
Ddis|DDB0233761	OG0001004	Hsap	13.0	Hsap,Atha
Nk52|evm22s265	OG0001004	Hsap	13.0	Hsap,Atha
Tthe|EAR92090	OG0001004	Hsap	13.0	Hsap,Atha
Ppal|EFA75085	OG0001004	Hsap	13.0	Hsap,Atha
Mlei|ML14424a-RA	OG0001004	Hsap	13.0	Hsap,Atha
Tthe|EAR96850	OG0001004	Hsap	13.0	Hsap,Atha
Sros|EGD78993	OG0001004	Hsap	13.0	Hsap,Atha
Sros|EGD76147	OG0001004	Hsap	13.0	Hsap,Atha
Spun|SPPG_00169T0	OG0001004	Hsap	13.0	Hsap,Atha
Ttra|AMSG_08332T0	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR13228	OG0001004	Hsap	13.0	Hsap,Atha
Ttra|AMSG_10833T0	OG0001004	Hsap	13.0	Hsap,Atha
Atha|AT2G39100.1	OG0001004	Hsap	13.0	Hsap,Atha
Atha|AT4G10930.1	OG0001004	Hsap	13.0	Hsap,Atha
Atha|AT4G10940.1	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR20850	OG0001004	Hsap	13.0	Hsap,Atha
Hsap|ENST00000360538	OG0001004	Hsap	13.0	Hsap,Atha
Nk52|evm4s382	OG0001004	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE4882	OG0001004	Hsap	13.0	Hsap,Atha
Ihof|evm3s659	OG0001004	Hsap	13.0	Hsap,Atha
Dmel|FBtr0331977	OG0001004	Hsap	13.0	Hsap,Atha
Dmel|FBtr0302494	OG0001004	Hsap	13.0	Hsap,Atha
Crei|EDP03255	OG0001004	Hsap	13.0	Hsap,Atha
Cneo|CNAG_01483T0	OG0001004	Hsap	13.0	Hsap,Atha
Ppat|PP1S376_4V6.1	OG0001004	Hsap	13.0	Hsap,Atha
Tgon|TGME49_006330	OG0001004	Hsap	13.0	Hsap,Atha
Aque|PAC15702943	OG0001004	Hsap	13.0	Hsap,Atha
Tgon|TGME49_062740	OG0001004	Hsap	13.0	Hsap,Atha
Cvar|estExt_fgenesh3_pg.C_220053	OG0001004	Hsap	13.0	Hsap,Atha
Ocar|g10175	OG0001004	Hsap	13.0	Hsap,Atha
Mver|MVEG_11270T0	OG0001004	Hsap	13.0	Hsap,Atha
Acas|ELR20026	OG0001004	Hsap	13.0	Hsap,Atha
Aque|PAC15714057	OG0001004	Hsap	13.0	Hsap,Atha
Crei|EDP06904	OG0001004	Hsap	13.0	Hsap,Atha
Clim|evm46s235	OG0001004	Hsap	13.0	Hsap,Atha
Nvec|EDO44322	OG0001004	Hsap	13.0	Hsap,Atha
Pinf|PITG_00388T0	OG0001004	Hsap	13.0	Hsap,Atha
Aque|PAC15720734	OG0001004	Hsap	13.0	Hsap,Atha
Tthe|EAS01708	OG0001004	Hsap	13.0	Hsap,Atha
Ppat|PP1S195_13V6.1	OG0001004	Hsap	13.0	Hsap,Atha
Bnat|JGI_V11_75682	OG0001004	Hsap	13.0	Hsap,Atha
Ppal|EFA76139	OG0001004	Hsap	13.0	Hsap,Atha
Gpro|mRNA_18485	OG0001004	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE19655	OG0001005	Hsap	13.0	Hsap,Atha
Ddis|DDB0187092	OG0001005	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE19652	OG0001005	Hsap	13.0	Hsap,Atha
Ttra|AMSG_00532T0	OG0001005	Hsap	13.0	Hsap,Atha
Ppal|EFA75051	OG0001005	Hsap	13.0	Hsap,Atha
Ttra|AMSG_07536T0	OG0001005	Hsap	13.0	Hsap,Atha
Ppal|EFA81048	OG0001005	Hsap	13.0	Hsap,Atha
Ppal|EFA80429	OG0001005	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE19656	OG0001005	Hsap	13.0	Hsap,Atha
Aipt|AIPGENE19651	OG0001005	Hsap	13.0	Hsap,Atha
Ppal|EFA77312	OG0001005	Hsap	13.0	Hsap,Atha
Hsap|ENST00000334583	OG0001005	Hsap	13.0	Hsap,Atha
Mbre|EDQ84225	OG0001005	Hsap	13.0	Hsap,Atha
Ppal|EFA80322	OG0001005	Hsap	13.0	Hsap,Atha
Ddis|DDB0218071	OG0001005	Hsap	13.0	Hsap,Atha
Hsap|ENST00000329474	OG0001005	Hsap	13.0	Hsap,Atha
Gpro|mRNA_6378	OG0001005	Hsap	13.0	Hsap,Atha
