node	cluster
Rall_366	3
Pbla_Phybl2_134258	3
Mver_00240	3
Acoe_002_00665	3
Crei_XP_001701010	3
Smoe_XP_002971811	3
Amac_10326	3
Ppat_XP_001770248	3
Smoe_XP_002983641	3
Mcir_Mucci2_106871	3
Smoe_XP_002966366	3
Otau_XP_003081858	3
Umay_XP_758014	3
Smoe_XP_002988390	3
Smoe_XP_002975811	3
Ccin_CC1G_05693	3
Mgut_mgv1a019293m	3
Smoe_XP_002990851	3
Sarc_SARC_09048	3
Crei_XP_001701009	3
Bdis_1g73790	3
Smoe_XP_002975639	3
Smoe_XP_002981230	3
Cele_Y32F6A_1_1	3
Ppat_XP_001786289	3
Ppal_EFA77024_1	3
Amac_03049	3
Smoe_XP_002980178	3
Rory_6165	3
Smoe_XP_002990338	3
Smoe_XP_002979745	3
Smoe_XP_002991840	3
Amac_03048	3
Spun_SPPG_04074	3
Ccor_135587	3
Smoe_XP_002963144	3
Atha_AT1G26760	3
Smoe_XP_002973616	3
Ppal_EFA83360_1	3
Crei_XP_001701008	3
Ppat_XP_001778358	3
Smoe_XP_002972331	3
Smoe_XP_002990571	3
Smoe_XP_002974368	4
Ppat_XP_001766115	4
Atha_AT2G31650	4
Smoe_XP_002982095	4
Bdis_4g08510	4
Smoe_XP_002975241	4
Crei_XP_001693149	4
Gthe_75734	4
Atha_AT1G05830	4
Sbic_02g016820	4
Mgut_mgv1a000532m	4
Smoe_XP_002992195	4
Ppat_XP_001767466	4
Acoe_058_00150	4
Vcar_XP_002956071	4
Cvar_EFN53930	4
Ppat_XP_001780587	4
Ncra_8418NCU09495	5
Aker_52254	5
Ccin_CC1G_02952	5
Cpar_17438Contig12482	5
Gthe_134519	5
Fgra_FGSG_11267	5
Mpus_Micpu59628	5
Ptri_XP_002186224	6
Hmag_XP_002157195	6
Vcar_XP_002952737	6
Acas_g9962	6
Cele_F34D6_4	6
Bdis_2g13416	6
Ppat_XP_001774300	6
Smoe_XP_002978283	6
Sbic_07g023560	6
Sbic_09g024010	6
Mgut_mgv1a009915m	6
Mgut_mgv1a008633m	6
Glam_XP_001705541	6
Bnat_40920	6
Cint_ENSCINP00000001349	6
Crev_81553	6
Bdis_3g35330	6
Ppat_XP_001757011	6
Sbic_04g026310	6
Hsap_ENSP00000337976	6
Smoe_XP_002988688	6
Sbic_08g001570	6
Nspp_17621_fr3	6
Cfra_6612T1	6
Acoe_043_00022	6
Umay_XP_756547	6
Hsap_ENSP00000373354	6
Smoe_XP_002963315	6
Smoe_XP_002994641	6
Bdis_1g64870	6
000REFERENE_ANOTATE_ML1	6
Aker_82917	6
Ppat_XP_001785416	6
Sbic_03g037660	6
Tcru_XP_818076	6
Sbic_04g030350	6
Mgut_mgv1a002144m	6
Ppat_XP_001752275	6
Esil_CBN78130	6
Tvag_XP_001276923	6
Mpus_Micpu7678	6
Lgig_116536	6
Lgig_134869	6
Cvar_EFN57970	6
Mgut_mgv1a020163m	6
Ctel_140913	6
Tmel_XP_002836926	6
Bdis_3g12790	6
Atha_AT3G03750	6
Mpus_Micpu62078	6
Pisp_45708	6
Dmel_FBpp0082583	6
Ppat_XP_001756860	6
Mlei_ML06271a	6
Umay_XP_761474	6
Ppat_XP_001785809	6
Tadh_XP_002113092	6
Ngru_XP_002673418	6
Sbic_03g035910	6
Sbic_02g006620	6
Ccor_44719	6
Esil_CBJ33274	6
Acoe_133_00028	6
Smoe_XP_002989567	6
Acoe_005_00512	6
Pbla_Phybl2_156239	6
Atha_AT1G73100	6
Dmel_FBpp0112128	6
Spom_NP_595186_1	6
Cfra_2387T1	6
Hsap_ENSP00000417980	6
Cgig_10028705	6
Ehux_62571	6
Esil_CBJ29831	6
Mgut_mgv1a021585m	6
Mgut_mgv1a002557m	6
Apar_comp14837_c0_seq1_fr6	6
Atha_AT5G43990	6
Acoe_001_00249	6
Bdis_3g48980	6
Amac_03278	6
Mgut_mgv1a004355m	6
Bdis_4g43717	6
Smoe_XP_002976443	6
Acoe_010_00310	6
Sros_PTSG_08195	6
Atha_AT2G22740	6
Smoe_XP_002979834	6
Skow_XP_002733701	6
Cgig_10004599	6
Acoe_025_00050	6
Ppat_XP_001775340	6
Aque_XP_003389507	6
Rirr_85029	6
Bdis_5g00500	6
Ppat_XP_001753516	6
Bdis_3g48970	6
Sbic_07g019863	6
Bdis_2g60080	6
Cint_ENSCINP00000028043	6
Acoe_021_00113	6
Atha_AT1G17770	6
Smoe_XP_002974605	6
Sbic_04g033260	6
Bdis_2g26840	6
Atha_AT5G13960	6
Bdis_2g51320	6
Atha_AT1G04050	6
Atha_AT4G13460	6
Bdis_4g28792	6
Ctel_206547	6
Sbic_06g034060	6
Gthe_62776	6
Sbic_02g022936	6
Ppat_XP_001785269	6
Bdis_1g29010	6
Pmar_XP_002767929	6
Crev_82539	6
Nvec_XP_001641871	6
Rfil_24410_3cf1	6
Mgut_mgv1a019352m	6
Sbic_07g019850	6
Cint_ENSCINP00000003247	6
Ehux_61763	6
Cang_54737	6
Bdis_1g53840	6
Bdis_3g12710	6
Atha_AT2G24740	6
Bdis_5g17340	6
Aker_62797	6
Smoe_XP_002966287	6
Mlei_ML08863a	6
Cgig_10016376	6
Sbic_03g044580	6
Ptet_A0D7N3_A0D7N3	6
Cneo_XP_572587	6
Spur_XP_782916	6
Bnat_82444	6
Nvec_XP_001628294	6
Hsap_ENSP00000408583	6
Ehux_457456	6
Cpar_26081Contig52867	6
Pinf_XP_002909121	6
Acoe_009_00559	6
Rfil_29978_4c	6
Acoe_034_00271	6
Bdis_4g28460	6
Bsal_BS32645	6
Hsap_ENSP00000346997	6
Acoe_007_00118	6
Ehux_100885	6
Atha_AT2G33290	6
Sbic_06g024160	6
Hsap_ENSP00000379078	6
Apar_comp10678_c1_seq1_fr5	6
Spur_XP_785941	6
Tcru_XP_810935	6
Bdis_2g59430	6
Bnat_80755	6
Sarc_SARC_01720	6
Spun_SPPG_08714	6
Rirr_39959	6
Mgut_mgv1a006459m	6
Ctel_112305	6
Hmag_XP_002162409	6
Mgut_mgv1a003074m	6
Acoe_025_00006	6
Ppat_XP_001768106	6
Pmar_XP_002785418	6
Acas_g441	6
Atha_AT2G05900	6
Sbic_02g010210	6
Ehux_63772	6
Mgut_mgv1a005143m	6
Smoe_XP_002964246	6
Acoe_039_00171	6
Ddis_XP_646062	6
Acoe_005_00513	6
Ptet_A0BRZ9_A0BRZ9	6
Ehux_197202	6
Mgut_mgv1a002504m	6
Hmag_XP_002157170	6
Bden_Batde5_6084	6
Sbic_09g019060	6
Cele_Y41D4B_12a	6
Mgut_mgv1a001540m	6
Skow_XP_002731395	6
Atha_AT2G35160	6
Bdis_3g52950	6
Ihof_3673	6
Sbic_07g023480	6
Atha_AT5G04940	6
Mlei_ML05765a	6
Bnat_69038	6
Smoe_XP_002986381	6
Sbic_07g019860	6
Acoe_013_00108	6
Spur_XP_782949	6
Crei_XP_001701764	6
Acoe_009_00084	6
Acoe_110_00035	6
Sbic_06g001340	6
Acoe_002_00419	6
Scil_53898	6
Smoe_XP_002971955	6
Mgut_mgv1a001836m	6
Ppal_EFA86329_1	6
Atha_AT2G23740	6
Esil_CBN78286	6
Bdis_4g25940	6
Spun_SPPG_05106	6
Cgig_10002357	6
Skow_XP_002734659	6
Mgut_mgv1a000212m	6
Sarc_SARC_06586	6
Rall_4856	6
Scil_72863	6
Atha_AT3G04380	6
crenarchaeote_SCGC_AAA261C22_5166683	6
Tgon_XP_002364904	6
Ppat_XP_001782279	6
Cang_57221	6
Spur_XP_003728726	6
Ehux_67245	6
Ptet_A0EBG7_A0EBG7	6
Tadh_XP_002117623	7
Ngru_XP_002672965	7
Tvag_XP_001322206	7
Nvec_XP_001627377	7
Aano_F0YGG4	7
Lgig_111681	7
Scil_27079	7
Hsap_ENSP00000326477	7
Adig_5360v122594	7
Fgra_FGSG_02778	7
Ccin_CC1G_15399	7
Aque_XP_003387124	7
Cvar_EFN54317	7
Ctel_224568	7
Cele_R05D3_11	7
Spur_XP_003723917	7
Mvib_comp13337_c0_seq1_fr4	7
Cgig_10026622	7
Skow_XP_002731923	7
Tadh_XP_002117622	7
Ncra_3927NCU04402	7
Ocar_g3910_t1	7
Dmel_FBpp0111689	7
Hsap_ENSP00000271640	7
Hmag_XP_002169411	7
Mbre_XP_001751054	7
Aano_F0XVZ8	7
Cint_ENSCINP00000019485	7
Tpse_XP_002287062	8
Mcir_Mucci2_107056	8
Mver_08386	8
Tpse_XP_002288295	8
Acas_g754	8
Pisp_69739	8
Cowc_CAOG_00643	8
Crev_41928	8
Ehux_96595	8
Spun_SPPG_04331	8
Apar_comp20834_c2_seq1_fr5	8
Ptri_XP_002179507	8
Amac_13838	8
Vcar_XP_002947984	8
Spom_NP_596799_2	8
Crei_XP_001690983	8
Rory_7153	8
Bden_Batde5_86633	8
Rall_2313	8
Bnat_129526	8
Amac_11375	8
Ptri_XP_002177222	8
Tthe_XP_001009809	8
Rirr_36464	8
Cang_114976	8
Adig_13723v110302	9
Dmel_FBpp0075510	9
Lgig_139900	9
Aano_F0Y2P1	9
Rory_14883	9
Ngru_XP_002679121	9
Aque_XP_003383073	9
Mcir_Mucci2_159353	9
Adig_11240v107992	9
Scil_9219	9
Cint_ENSCINP00000024302	9
Scil_83602	9
Rall_1841	9
Rfil_3784744_2s	9
Pbla_Phybl2_145894	9
Scil_60754	9
Pyez_41266_g9405	9
Ihof_9932	9
Crev_10785	9
Spur_XP_785251	9
Acas_g8180	9
Rirr_253856	9
Ocar_g2500_t1	9
Cgig_10010657	9
Fgra_FGSG_09585	9
Spom_NP_594837_1	9
Ccri_T00005569001	9
Mlei_ML01132a	9
Esil_CBJ25830	9
Rory_4092	9
Ppal_EFA86338_1	9
Esil_CBN76570	9
Gthe_66832	9
Scil_12689	9
Cang_50153	9
Pinf_XP_002899256	9
Hsap_ENSP00000384114	9
Nvec_XP_001637486	9
Mcir_Mucci2_163371	9
Gthe_65244	9
Cele_Y73B3B_2	9
Spur_XP_003726851	9
Mver_04374	9
Hsap_ENSP00000257745	9
Tadh_XP_002117828	9
Adig_17690v113829	9
Cowc_CAOG_02237	9
Hmag_XP_002158654	9
Mbre_XP_001745803	9
Tcru_XP_810430	10
Tpse_XP_002297463	10
Cowc_CAOG_00526	10
Scer_SCRT_04049	10
Esil_CBN80460	10
Nvec_XP_001621978	10
Methanoregula_boonei_501056142_20_11	10
Gpro_57228	10
Pinf_XP_002895606	10
Pinf_XP_002900419	10
Pinf_XP_002902883	10
Esil_CBN75282	10
Cang_65771	10
Acas_g12825	10
Nvec_XP_001622536	10
Esil_CBN75501	10
Tcru_XP_805945	10
Lmaj_XP_001683937	10
Bsal_BS35450	10
Cpar_28224Contig56056	10
Pinf_XP_002898694	10
Clim_g2896	10
Spun_SPPG_06877	10
Pmar_XP_002787740	10
Pinf_XP_002902016	10
Gthe_131886	10
Spun_SPPG_01685	10
Acas_g9900	10
Otau_XP_003079712	10
Mpus_Micpu56361	10
Sarc_SARC_01601	10
Pinf_XP_002899390	10
Bnat_136495	10
Ehux_453655	10
Ncra_1750NCU01973	10
Scer_SCRT_03567	10
Ptet_A0DWT5_A0DWT5	10
Candidatus_Parvarchaeum_acidophilus_	10
Mvib_comp13658_c0_seq1_fr6	10
Pinf_XP_002899278	10
Cfra_1127T1	11
Spur_XP_003730778	11
Mvib_comp9007_c1_seq1_fr4	11
Ehux_194541	11
Pmar_XP_002772010	11
Mgut_mgv1a010398m	11
Rirr_342860	11
Sagg_84574	11
Acoe_004_00718	11
Sbic_01g022220	11
Tadh_XP_002109888	11
Atha_AT5G06620	11
Lmaj_XP_001685790	11
Ppal_EFA83075_1	11
Hmag_XP_002163555	11
Hsap_ENSP00000355924	11
Aker_49446	11
Fgra_FGSG_01168	11
Adig_18862v114854	11
Nvec_XP_001627600	11
Gthe_136248	11
Tcru_XP_807434	11
Rirr_344831	11
Ddis_XP_641994	11
Bsal_BS43455	11
Hsap_ENSP00000393453	11
Spun_SPPG_03824	11
Mver_02594	11
Cint_ENSCINP00000013431	11
Spur_XP_003731708	11
Spur_XP_001199204	11
Esil_CBJ32293	11
Hsap_ENSP00000373637	11
Spur_XP_788278	11
Spur_XP_003730587	11
Spur_XP_003728116	11
Umay_XP_759888	11
Tpse_XP_002292103	11
Umar_278813	11
Pmar_XP_002781574	11
Spur_XP_799878	11
Bden_Batde5_35411	11
Mpus_Micpu60109	12
Ppat_XP_001775739	12
Smoe_XP_002974033	12
Smoe_XP_002983459	12
Apar_comp23409_c1_seq1_fr4	13
Rirr_66612	13
Falb_H696_00716T0	13
Ccri_T00001983001	13
Pyez_40134_g9249	13
Crei_XP_001702027	13
Vcar_XP_002954958	13
Ttra_AMSG_09203	13
Cmer_CMG025C	13
Ihof_383	13
Bsal_BS64390	14
Mpus_Micpu178115	14
Ehux_250053	15
Scil_70867	15
Scil_70624	15
Skow_XP_002739286	15
Adig_2070v103434	15
Apar_comp12770_c0_seq1_fr4	15
Adig_3112v120858	15
Nvec_XP_001630857	15
Hsap_ENSP00000276594	15
Nspp_17480_fr3	15
Adig_2550v120377	15
Ccor_71261	15
Ihof_5851	15
Spur_XP_799022	15
Gpro_66573	15
Bdis_5g10050	15
Adig_17466v101523	15
Spur_XP_001200656	15
Gthe_99101	15
Pmar_XP_002766618	15
Mbre_XP_001745025	15
Cang_28328	15
Atha_AT1G43245	15
Adig_2065v103432	15
Pmar_XP_002784695	15
Cgig_10013102	15
Scil_89977	15
Gthe_150215	15
Umar_250739	15
Lgig_156439	15
Ctel_75757	15
Apar_comp18210_c0_seq1_fr4	15
Cgig_10027610	15
Hsap_ENSP00000274031	15
Hmag_XP_002154805	15
Rfil_3780083_1s1f1	15
Cneo_XP_572264	15
Nvec_XP_001641018	15
Adig_17948v114072	15
Pisp_68567	15
Aque_XP_003387259	15
Adig_2066v103428	15
Nvec_XP_001628558	15
Ppal_EFA77773_1	15
Spur_XP_003724787	15
Tadh_XP_002109980	15
Hsap_ENSP00000384725	15
Sarc_SARC_15066	15
Rirr_323896	15
Ocar_g8397_t1	15
Adig_2069v103431	15
Cowc_CAOG_01403	15
Umar_226245	15
Rirr_33049	15
Skow_XP_002737396	15
Tadh_XP_002112735	15
Nvec_XP_001634375	15
Adig_23202v118285	15
Ihof_9158	15
Aque_XP_003387382	15
Scil_95376	15
Ehux_205579	15
Nvec_XP_001630482	15
Scil_67802	15
Hsap_ENSP00000358092	15
Amac_01030	15
Lgig_153726	15
Ctel_103287	15
Esil_CBN80451	15
Cint_ENSCINP00000000048	15
Nvec_XP_001638198	15
Amac_02546	15
Ddis_XP_636856	15
Hsap_ENSP00000235372	15
Spun_SPPG_00148	15
Rirr_8856	15
Spur_XP_792487	15
Adig_2067v103430	15
Cgig_10016009	15
Cfra_2578T1	15
Pmar_XP_002765502	15
Rirr_324218	15
Esil_CBJ30403	15
Scil_90070	15
Pmar_XP_002776582	15
Spur_XP_790201	15
Amac_06039	15
Ctel_183922	15
Rirr_98806	15
Cowc_CAOG_04513	15
Pbla_Phybl2_188395	15
Scil_67503	15
Nvec_XP_001640186	15
Bnat_90901	15
Ctel_202965	15
Rirr_89547	15
Pisp_69677	15
Cgig_10001616	15
Mgut_mgv1a023205m	15
Nvec_XP_001630839	15
Rirr_323213	15
Cele_F02D10_7	15
Mver_05382	15
Lgig_114994	15
Sbic_06g016550	15
Scil_69355	15
Rirr_16582	15
Smoe_XP_002970505	15
Rirr_210128	15
Rirr_345445	15
Adig_5324v122563	15
Ppal_EFA76050_1	15
Lgig_169169	15
Mlei_ML124240a	15
Rirr_84100	15
Rirr_1590	15
Scil_48982	15
Acas_g2756	15
Amac_09338	15
Skow_NP_001161634	15
Acoe_013_00096	16
Skow_XP_002737721	16
Bdis_2g07082	16
Pmar_XP_002765683	16
Cele_T26A5_7a	16
Cgig_10022534	16
Tgon_XP_002371298	16
Ttra_AMSG_03613	16
Mbre_XP_001744129	16
Ppal_EFA79695_1	16
Cowc_CAOG_07681	16
Hmag_XP_002154569	16
Gthe_78620	16
Smoe_XP_002961390	16
Hmag_XP_002166795	16
Tthe_XP_001029767	16
Cgig_10001891	16
Hsap_ENSP00000332995	16
Sarc_SARC_03923	16
Cgig_10021314	16
Sros_PTSG_12693	16
Mvib_comp12897_c0_seq1_fr5	16
Atha_AT4G27910	16
Cgig_10000979	16
Mvib_comp6636_c1_seq1_fr4	16
Apar_comp22257_c0_seq1_fr4	16
Hmag_XP_002164363	16
Sros_PTSG_09393	16
Spur_XP_797080	16
Cmer_CMD005C	16
Cgig_10016754	16
Cpar_20263Contig25695	16
Hmag_XP_002155522	16
Acas_g6446	16
Hmag_XP_002170435	16
Ctel_210805	16
Bdis_2g45430	16
Atha_AT3G61740	16
Ehux_233107	16
Spur_XP_003725758	16
Ptet_A0D3D7_A0D3D7	16
Cgig_10003128	16
Atha_AT5G53430	16
Mlei_ML024912a	16
Spur_XP_001198325	16
Spur_XP_003730416	16
Sbic_03g029850	16
Scil_63960	16
Mgut_mgv1a000575m	16
Aque_XP_003387132	16
Ctel_195572	16
Smoe_XP_002975450	16
Spur_XP_003728212	16
Pmar_XP_002785717	16
Clim_g757	16
Ctel_214008	16
Tadh_XP_002114992	16
Smoe_XP_002980880	16
Cgig_10003511	16
Mlei_ML19101a	16
Ctel_172225	16
Hmag_XP_002158221	16
Dmel_FBpp0082387	16
Ctel_112305_2	16
Pfal_Q8I1Z0_Q8I1Z0	16
Acoe_021_00020	16
Acoe_037_00166	16
Hmag_XP_002168824	16
Clim_g3130	16
Ihof_7590	16
Ocar_g7553_t1	16
Smoe_XP_002964071	16
Nvec_XP_001629745	16
Rall_3554	16
Sbic_03g001640	16
Tpse_XP_002295207	16
Ncra_889NCU00970	16
Cfra_1842T1	16
Lgig_117025	16
Cpar_12930Contig6860	16
Ctel_49838	16
Cpar_24798Contig41234	16
Spur_XP_003731178	16
Ppat_XP_001777592	16
Cint_ENSCINP00000025690	16
Cgig_10007233	16
Gthe_102686	17
Bsal_BS48790	17
Pyez_19832_g4888	17
Cvar_EFN58949	17
Crei_XP_001698886	17
Vcar_XP_002952881	17
Falb_H696_05585T0	18
Crev_44170	18
Falb_H696_03132T0	18
Cgig_10027102	18
Sbic_07g005870	18
Acas_g11306	18
Tcru_XP_814949	18
Bsal_BS12885	18
Ddis_XP_639077	18
Ddis_XP_644839	18
Nspp_9865_fr2	18
Bsal_BS64460	18
Atha_AT2G19640	18
Acas_g12889	18
Pmar_XP_002765366	18
Nspp_10040_fr4	18
Ddis_XP_629856	18
Sarc_SARC_00510	18
Spun_SPPG_08305	18
Apar_comp21560_c1_seq2_fr4	18
Ppal_EFA82595_1	18
Smoe_XP_002970670	18
Acoe_024_00050	18
Bdis_3g17710	18
Gthe_121938	18
Falb_H696_04941T0	18
Fgra_FGSG_03752	18
Mgut_mgv1a008254m	18
Pinf_XP_002900537	18
Tcru_XP_807160	18
Lmaj_XP_003721822	18
Gthe_108453	18
Umar_252023	18
Bsal_BS55385	18
Tcru_XP_805550	18
Pinf_XP_002894963	18
Ppat_XP_001779453	18
Tcru_XP_811771	18
Cowc_CAOG_03053	18
Ppal_EFA76267_1	18
Ddis_XP_644838	18
Lmaj_XP_001683414	18
Pmar_XP_002769534	18
Bden_Batde5_88226	18
Ddis_XP_001733058	18
Bsal_BS10175	18
Nspp_10039_fr6	18
Ihof_4965	18
Rirr_340241	18
Ptri_XP_002184309	18
Sarc_SARC_01991	19
Gpro_53695	19
Clim_g5415	19
Mpus_Micpu192562	19
Aker_45975	19
Clim_g3916	19
Tcru_XP_811494	19
Amac_09124	19
Esil_CBN79949	19
Ehux_120890	19
Vcar_XP_002956692	19
Ehux_452240	19
Cvar_EFN53133	19
Acas_g7878	19
Crei_XP_001689919	19
Tcru_XP_821025	19
Pbla_Phybl2_112008	20
Amac_06505	20
Umar_223368	20
Spom_NP_588078_1	20
Lgig_116803	20
Hsap_ENSP00000255613	20
Cfra_7019T1	20
Hmag_XP_002166241	20
Spur_XP_800216	20
Cang_125152	20
Ccor_10342	20
Falb_H696_04933T0	20
Mcir_Mucci2_150356	20
Apar_comp20464_c0_seq1_fr6	20
Gthe_66907	20
Dmel_FBpp0070146	20
Bden_Batde5_8511	20
Mvib_comp12474_c0_seq1_fr5	20
Cgig_10007764	20
Cang_122703	20
Mver_08497	20
Ncra_7565NCU08551	20
Nspp_14168_fr5	20
Spun_SPPG_04024	20
Esil_CBJ49018	20
Cele_C32D5_5	20
Ctel_228696	20
Ccin_CC1G_11834	20
Mlei_ML02412a	20
Cint_ENSCINP00000001120	20
Amac_15452	20
Apar_comp16015_c3_seq1_fr4	20
Skow_XP_002732220	20
Hsap_ENSP00000305899	20
Cang_122643	20
Esil_CBJ48999	20
Mcir_Mucci2_135209	20
Umay_XP_756690	20
Nspp_13715_fr4	20
Sros_PTSG_09637	20
Rory_5415	20
Fgra_FGSG_06529	20
Rfil_92400_1cf1	20
Nvec_XP_001634769	20
Crev_43176	20
Clim_g4811	20
Amac_11412	20
Cang_107102	20
Pisp_49244	20
Tmel_XP_002839141	20
Gpro_132992	20
Rall_3287	20
Rory_16697	20
Ihof_10267	20
Tadh_XP_002115573	20
Cowc_CAOG_02948	20
Amac_13870	20
Rory_2737	20
Ocar_g3228_t1	20
Mpus_Micpu57043	20
Mpus_Micpu209945	21
Ehux_228606	21
Ehux_207807	21
Gthe_120372	21
Mgut_mgv1a026305m	22
Atha_AT5G09790	22
Mgut_mgv1a024041m	22
Mgut_mgv1a009128m	22
Mgut_mgv1a023273m	22
Atha_AT5G24330	22
Acas_g413	22
Ptet_A0BXH7_A0BXH7	22
Tpse_XP_002293206	22
Bdis_2g61717	22
Sbic_04g001900	22
Ppat_XP_001784397	22
Acoe_013_00049	22
Bdis_3g02220	22
Mgut_mgv11b021588m	22
Sbic_03g046950	22
Acoe_014_00396	22
Mgut_mgv1a024362m	22
Mgut_mgv1a025560m	22
Ptet_A0C830_A0C830	22
Bnat_69864	22
Tthe_XP_001019150	22
Smoe_XP_002968131	22
Tcru_XP_819951	23
Cfra_2216T1	23
Bnat_76140	23
Ttra_AMSG_10303	23
Ehux_223194	23
Ptri_XP_002176313	23
Tcru_XP_815256	23
Cfra_4843T1	23
Mver_00444	23
Bnat_68204	23
Ehis_357_m00040	23
Acas_g9677	23
Lmaj_XP_001682529	23
Sarc_SARC_10855	23
Sarc_SARC_01035	23
Bsal_BS02315	24
Tcru_XP_810987	24
Gpro_455465	24
Tmel_XP_002836395	24
Mcir_Mucci2_34233	24
Ppat_XP_001771670	24
Rirr_34964	24
Falb_H696_01829T0	24
Cowc_CAOG_03906	24
Amac_11220	24
Mcir_Mucci2_38052	24
Fgra_FGSG_08916	24
Umar_257554	24
Mver_11821	24
Lmaj_XP_001686591	24
Cowc_CAOG_08491	24
Pbla_Phybl2_133104	24
Rory_16719	24
Rory_5504	24
Ncra_1713NCU01932	24
Crev_88476	24
Falb_H696_01829T1	24
Cang_125716	24
Rory_1193	24
Clim_g2911	24
Bsal_BS33470	24
Pinf_XP_002907011	24
Ttra_AMSG_02056	24
Lmaj_XP_001684263	24
Cpar_9156Contig43085	24
Nspp_12465_fr6	24
Tcru_XP_803514	24
Ccor_47936	24
Tcru_XP_809765	24
Pisp_22950	24
Mver_01422	24
Cele_K09F5_5	24
Cang_123522	24
Mvib_comp10766_c1_seq1_fr4	24
Tcru_XP_807760	24
Cfra_2688T1	25
Nvec_XP_001622958	25
Mbre_XP_001747654	25
Ctel_179499	25
Ocar_g10414_t1	25
Sarc_SARC_04312	25
Scil_30598	25
Tadh_XP_002112190	25
Mlei_ML41301a	25
Apar_comp16066_c0_seq1_fr6	25
Acas_g2013	25
Ihof_1761	25
Cgig_10008103	25
Skow_XP_002740398	25
Lgig_209271	25
Dmel_FBpp0082406	25
Adig_278v118577	25
Acas_g11528	25
Hsap_ENSP00000436786	25
Aque_XP_003389474	25
Cint_ENSCINP00000025384	25
Hsap_ENSP00000222270	25
Sros_PTSG_07559	25
Pyez_28201_g6931	25
Nvec_XP_001623359	25
Hmag_XP_002161520	25
Vcar_XP_002951402	26
Apar_comp20410_c1_seq1_fr5	26
Mpus_Micpu164960	26
Ocar_g2341_t1	26
Ctel_176480	26
Acas_g7149	26
Ihof_1171	26
Cgig_10006344	26
Apar_comp15960_c0_seq1_fr5	26
Ehux_425757	26
Scil_50427	26
Sros_PTSG_04178	26
Cpar_12738Contig6713	26
Pinf_XP_002907842	26
Mbre_XP_001750922	26
Hsap_ENSP00000357330	26
Spur_XP_003728661	26
Cmer_CMN313C	26
Gthe_137717	26
Crei_XP_001701055	26
Spur_XP_784903	26
Lgig_143999	26
Spur_XP_003728662	26
Cvar_EFN54848	26
Dmel_FBpp0074738	26
Cmer_CML152C	26
Scil_43878	26
Skow_XP_002732754	26
Gpro_96002	27
Rall_5515	27
Rory_11085	27
Pisp_26066	27
Cgig_10017490	27
Ehux_70530	27
Ngad_00849_01	27
Mgut_mgv1a023175m	27
Esil_CBN74374	27
Spom_NP_587812_1	27
Scer_SCRT_04833	27
Tadh_XP_002117297	27
Bdis_4g01790	27
Mcir_Mucci2_137855	27
Acoe_017_00002	27
Aque_XP_003385238	27
Apar_comp26195_c0_seq1_fr6	27
Mbre_XP_001748661	27
Nvec_XP_001636609	27
Lmaj_XP_001684837	27
Aano_F0YDE7	27
Ccor_82240	27
